SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.600000
---------------------------
Steps Taken: 1 | Time Diff: 5.53
Steps Taken: 2 | Time Diff: 11.08
Steps Taken: 3 | Time Diff: 16.64
Steps Taken: 4 | Time Diff: 22.16
Steps Taken: 5 | Time Diff: 27.71
Steps Taken: 6 | Time Diff: 33.28
Steps Taken: 7 | Time Diff: 38.83
Steps Taken: 8 | Time Diff: 44.39
Steps Taken: 9 | Time Diff: 49.93
Steps Taken: 10 | Time Diff: 55.51
Steps Taken: 11 | Time Diff: 61.06
Steps Taken: 12 | Time Diff: 66.63
Steps Taken: 13 | Time Diff: 72.18
Steps Taken: 14 | Time Diff: 77.76
Steps Taken: 15 | Time Diff: 83.32
Steps Taken: 16 | Time Diff: 88.87
Steps Taken: 17 | Time Diff: 94.44
Steps Taken: 18 | Time Diff: 100.0
Steps Taken: 19 | Time Diff: 105.55
Steps Taken: 20 | Time Diff: 111.11
Steps Taken: 21 | Time Diff: 116.69
Steps Taken: 22 | Time Diff: 122.23
Steps Taken: 23 | Time Diff: 127.79
Steps Taken: 24 | Time Diff: 133.34
Steps Taken: 25 | Time Diff: 138.92
Steps Taken: 26 | Time Diff: 144.47
Steps Taken: 27 | Time Diff: 150.03
Steps Taken: 28 | Time Diff: 155.59
Steps Taken: 29 | Time Diff: 161.14
Steps Taken: 30 | Time Diff: 166.69
Steps Taken: 31 | Time Diff: 172.24
Steps Taken: 32 | Time Diff: 177.82
Steps Taken: 33 | Time Diff: 183.36
Steps Taken: 34 | Time Diff: 188.91
Steps Taken: 35 | Time Diff: 194.46
Steps Taken: 36 | Time Diff: 200.03
Steps Taken: 37 | Time Diff: 205.57
Steps Taken: 38 | Time Diff: 211.12
Steps Taken: 39 | Time Diff: 216.67
Steps Taken: 40 | Time Diff: 222.23
Steps Taken: 41 | Time Diff: 227.78
Steps Taken: 42 | Time Diff: 233.33
Steps Taken: 43 | Time Diff: 238.91
Steps Taken: 44 | Time Diff: 244.45
Steps Taken: 45 | Time Diff: 250.01
Steps Taken: 46 | Time Diff: 255.56
Steps Taken: 47 | Time Diff: 261.12
Steps Taken: 48 | Time Diff: 266.65
Steps Taken: 49 | Time Diff: 272.2
Steps Taken: 50 | Time Diff: 277.75
Steps Taken: 1 | Time Diff: 283.29
Steps Taken: 2 | Time Diff: 288.83
Steps Taken: 3 | Time Diff: 294.38
Steps Taken: 4 | Time Diff: 299.94
Steps Taken: 5 | Time Diff: 305.47
Steps Taken: 6 | Time Diff: 311.0
Steps Taken: 7 | Time Diff: 316.53
Steps Taken: 8 | Time Diff: 322.09
Steps Taken: 9 | Time Diff: 327.62
Steps Taken: 10 | Time Diff: 333.17
Steps Taken: 11 | Time Diff: 338.71
Steps Taken: 12 | Time Diff: 344.27
Steps Taken: 13 | Time Diff: 349.79
Steps Taken: 14 | Time Diff: 355.31
Steps Taken: 15 | Time Diff: 360.83
Steps Taken: 16 | Time Diff: 366.36
Steps Taken: 17 | Time Diff: 371.91
Steps Taken: 18 | Time Diff: 377.43
Steps Taken: 19 | Time Diff: 382.96
Steps Taken: 20 | Time Diff: 388.49
Steps Taken: 21 | Time Diff: 394.05
