SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.200000
Steps Taken: 1 | Time Diff: 4.52
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 9.03
Acton: 0 | Reward: 0.800000
Steps Taken: 3 | Time Diff: 13.54
Acton: 0 | Reward: 0.800000
Steps Taken: 4 | Time Diff: 18.04
Acton: 0 | Reward: -0.200000
Steps Taken: 5 | Time Diff: 22.56
Acton: 0 | Reward: -0.200000
Steps Taken: 6 | Time Diff: 27.08
Acton: 0 | Reward: -0.200000
Steps Taken: 7 | Time Diff: 31.6
Acton: 0 | Reward: -0.200000
Steps Taken: 8 | Time Diff: 36.12
Acton: 0 | Reward: -0.200000
Steps Taken: 9 | Time Diff: 40.63
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 45.14
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 49.65
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 54.16
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 58.68
Acton: 0 | Reward: -0.200000
Steps Taken: 14 | Time Diff: 63.2
Acton: 0 | Reward: -0.200000
Steps Taken: 15 | Time Diff: 67.7
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 72.21
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 76.72
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 81.22
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 85.73
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 90.23
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 94.75
Acton: 0 | Reward: -0.200000
Steps Taken: 22 | Time Diff: 99.26
Acton: 0 | Reward: -0.200000
Steps Taken: 23 | Time Diff: 103.77
Acton: 0 | Reward: 0.800000
Steps Taken: 24 | Time Diff: 108.27
Acton: 0 | Reward: -0.200000
Steps Taken: 25 | Time Diff: 112.78
Acton: 0 | Reward: -0.200000
Steps Taken: 26 | Time Diff: 117.3
Acton: 0 | Reward: -0.200000
Steps Taken: 27 | Time Diff: 121.81
Acton: 0 | Reward: 0.800000
Steps Taken: 28 | Time Diff: 126.32
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 130.84
Acton: 0 | Reward: 0.800000
Steps Taken: 30 | Time Diff: 135.37
Acton: 0 | Reward: 0.800000
Steps Taken: 31 | Time Diff: 139.89
Acton: 0 | Reward: 0.800000
Steps Taken: 32 | Time Diff: 144.4
Acton: 0 | Reward: 0.800000
Steps Taken: 33 | Time Diff: 148.92
Acton: 0 | Reward: -0.200000
Steps Taken: 34 | Time Diff: 153.44
Acton: 0 | Reward: -0.200000
Steps Taken: 35 | Time Diff: 157.96
Acton: 0 | Reward: 0.800000
Steps Taken: 36 | Time Diff: 162.47
Acton: 0 | Reward: -0.200000
Steps Taken: 37 | Time Diff: 166.99
Acton: 0 | Reward: -0.200000
Steps Taken: 38 | Time Diff: 171.51
Acton: 0 | Reward: -0.200000
Steps Taken: 39 | Time Diff: 176.02
Acton: 0 | Reward: 0.800000
Steps Taken: 40 | Time Diff: 182.25
Acton: 0 | Reward: -0.200000
Steps Taken: 41 | Time Diff: 186.77
Acton: 0 | Reward: -0.200000
Steps Taken: 42 | Time Diff: 191.29
Acton: 0 | Reward: 0.800000
Steps Taken: 43 | Time Diff: 195.81
Acton: 0 | Reward: -0.200000
Steps Taken: 44 | Time Diff: 200.48
Acton: 0 | Reward: 0.800000
Steps Taken: 45 | Time Diff: 205.5
Acton: 0 | Reward: 0.800000
Steps Taken: 46 | Time Diff: 210.02
Acton: 0 | Reward: 0.800000
Steps Taken: 47 | Time Diff: 214.54
Acton: 0 | Reward: -0.200000
Steps Taken: 48 | Time Diff: 222.62
Acton: 0 | Reward: 0.800000
Steps Taken: 49 | Time Diff: 232.3
Acton: 0 | Reward: -0.200000
Steps Taken: 50 | Time Diff: 241.92
Acton: 0 | Reward: -0.200000
Steps Taken: 1 | Time Diff: 251.27
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 260.56
Acton: 0 | Reward: -0.200000
Steps Taken: 3 | Time Diff: 269.88
Acton: 0 | Reward: -0.200000
Steps Taken: 4 | Time Diff: 279.15
Acton: 0 | Reward: 0.800000
Steps Taken: 5 | Time Diff: 285.08
Acton: 0 | Reward: 0.800000
Steps Taken: 6 | Time Diff: 293.93
Acton: 0 | Reward: 0.800000
Steps Taken: 7 | Time Diff: 298.39
Acton: 0 | Reward: -0.200000
Steps Taken: 8 | Time Diff: 305.81
Acton: 0 | Reward: -0.200000
Steps Taken: 9 | Time Diff: 310.27
Acton: 0 | Reward: -0.200000
Steps Taken: 10 | Time Diff: 315.05
Acton: 0 | Reward: 0.800000
Steps Taken: 11 | Time Diff: 319.51
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 325.15
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 329.61
Acton: 0 | Reward: 0.800000
Steps Taken: 14 | Time Diff: 334.06
Acton: 0 | Reward: 0.800000
Steps Taken: 15 | Time Diff: 338.53
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 342.99
Acton: 0 | Reward: 0.800000
Steps Taken: 17 | Time Diff: 347.45
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 351.93
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 356.4
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 360.87
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 365.33
Acton: 0 | Reward: -0.200000
Steps Taken: 22 | Time Diff: 369.79
Acton: 0 | Reward: 0.800000
Steps Taken: 23 | Time Diff: 374.25
Acton: 0 | Reward: 0.800000
Steps Taken: 24 | Time Diff: 378.71
Acton: 0 | Reward: 0.800000
Steps Taken: 25 | Time Diff: 383.52
Acton: 0 | Reward: -0.200000
Steps Taken: 26 | Time Diff: 388.13
Acton: 0 | Reward: 0.800000
Steps Taken: 27 | Time Diff: 392.61
Acton: 0 | Reward: -0.200000
Steps Taken: 28 | Time Diff: 397.07
Acton: 0 | Reward: -0.200000
Steps Taken: 29 | Time Diff: 401.53
Acton: 0 | Reward: 0.800000
Steps Taken: 30 | Time Diff: 405.98
Acton: 0 | Reward: 0.800000
Steps Taken: 31 | Time Diff: 410.44
Acton: 0 | Reward: 0.800000
Steps Taken: 32 | Time Diff: 414.9
Acton: 0 | Reward: -0.200000
Steps Taken: 33 | Time Diff: 419.35
Acton: 0 | Reward: 0.800000
Steps Taken: 34 | Time Diff: 423.81
Acton: 0 | Reward: -0.200000
Steps Taken: 35 | Time Diff: 428.27
Acton: 0 | Reward: -0.200000
Steps Taken: 36 | Time Diff: 432.73
Acton: 0 | Reward: -0.200000
Steps Taken: 37 | Time Diff: 437.19
Acton: 0 | Reward: 0.800000
Steps Taken: 38 | Time Diff: 441.66
Acton: 0 | Reward: -0.200000
Steps Taken: 39 | Time Diff: 446.13
Acton: 0 | Reward: 0.800000
Steps Taken: 40 | Time Diff: 450.6
Acton: 0 | Reward: 0.800000
Steps Taken: 41 | Time Diff: 455.06
Acton: 0 | Reward: -0.200000
Steps Taken: 42 | Time Diff: 459.52
Acton: 0 | Reward: -0.200000
Steps Taken: 43 | Time Diff: 463.97
Acton: 0 | Reward: -0.200000
Steps Taken: 44 | Time Diff: 468.43
Acton: 0 | Reward: 0.800000
Steps Taken: 45 | Time Diff: 472.89
Acton: 0 | Reward: -0.200000
Steps Taken: 46 | Time Diff: 477.35
Acton: 0 | Reward: 0.800000
Steps Taken: 47 | Time Diff: 481.8
Acton: 0 | Reward: -0.200000
Steps Taken: 48 | Time Diff: 486.25
Acton: 0 | Reward: -0.200000
Steps Taken: 49 | Time Diff: 490.7
Acton: 0 | Reward: -0.200000
Steps Taken: 50 | Time Diff: 495.17
Acton: 0 | Reward: 0.800000
Steps Taken: 1 | Time Diff: 499.61
Acton: 0 | Reward: -0.200000
Steps Taken: 2 | Time Diff: 504.07
Acton: 0 | Reward: 0.800000
Steps Taken: 3 | Time Diff: 508.51
Acton: 0 | Reward: -0.200000
Steps Taken: 4 | Time Diff: 512.98
Acton: 0 | Reward: 0.800000
Steps Taken: 5 | Time Diff: 517.45
Acton: 0 | Reward: 0.800000
Steps Taken: 6 | Time Diff: 521.91
Acton: 0 | Reward: 0.800000
Steps Taken: 7 | Time Diff: 526.37
Acton: 0 | Reward: -0.200000
Steps Taken: 8 | Time Diff: 530.85
Acton: 0 | Reward: 0.800000
Steps Taken: 9 | Time Diff: 535.33
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 539.79
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 544.27
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 548.76
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 553.27
Acton: 0 | Reward: -0.200000
Steps Taken: 14 | Time Diff: 557.73
Acton: 0 | Reward: 0.800000
Steps Taken: 15 | Time Diff: 562.19
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 566.65
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 571.11
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 575.57
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 580.04
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 584.49
Acton: 0 | Reward: 0.800000
