SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 5.13
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 10.23
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 15.34
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 20.45
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 25.56
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 30.66
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 35.77
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 40.87
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 45.97
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 51.07
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 56.18
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 61.29
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 66.4
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 71.51
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 76.62
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 81.73
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 86.83
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 91.93
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 97.04
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 102.15
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 107.25
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 112.35
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 117.46
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 122.58
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 127.69
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 132.81
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 137.94
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 143.06
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 148.19
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 153.3
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 158.42
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 163.54
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 168.65
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 173.77
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 178.88
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 184.0
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 189.11
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 194.24
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 199.36
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 204.48
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 209.6
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 214.73
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 219.98
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 225.25
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 230.4
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 235.69
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 241.45
Acton: 1 | Reward: 0.000000
Steps Taken: 48 | Time Diff: 247.84
Acton: 1 | Reward: 0.000000
Steps Taken: 49 | Time Diff: 254.24
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 260.38
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 266.47
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 272.76
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 279.06
Acton: 0 | Reward: -0.800000
Steps Taken: 4 | Time Diff: 285.05
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 291.38
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 297.65
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 303.95
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 310.09
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 316.27
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 322.83
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 329.3
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 336.0
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 342.25
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 348.61
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 354.81
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 360.86
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 367.08
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 373.45
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 379.64
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 386.05
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 392.4
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 398.72
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 405.19
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 411.68
Acton: 1 | Reward: 0.000000
