SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 5.32
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 10.61
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 15.9
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 21.17
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 26.44
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 31.71
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 36.97
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 42.24
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 47.51
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 52.78
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 58.05
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 63.32
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 68.58
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 73.86
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 79.12
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 84.42
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 89.7
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 94.98
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 100.3
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 105.76
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 111.08
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 116.49
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 122.19
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 128.45
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 134.95
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 141.47
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 147.87
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 154.32
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 160.62
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 166.98
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 173.3
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 179.86
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 186.4
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 192.63
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 199.22
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 205.84
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 212.07
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 218.58
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 225.1
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 231.57
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 238.11
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 244.56
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 251.12
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 257.53
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 264.29
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 270.68
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 277.06
Acton: 1 | Reward: 0.000000
Steps Taken: 48 | Time Diff: 283.31
Acton: 1 | Reward: 0.000000
Steps Taken: 49 | Time Diff: 289.72
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 295.95
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 302.36
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 308.46
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 314.94
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 321.18
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 327.6
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 333.85
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 340.59
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 347.14
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 353.58
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 359.98
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 366.36
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 372.74
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 378.99
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 385.44
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 391.76
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 398.39
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 405.26
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 412.1
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 419.32
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 426.26
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 433.91
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 441.22
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 448.5
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 455.71
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 462.59
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 469.41
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 476.66
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 483.76
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 490.71
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 497.96
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 504.84
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 511.75
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 518.67
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 525.4
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 532.23
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 538.66
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 544.95
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 551.52
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 557.81
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 564.25
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 570.62
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 576.91
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 583.25
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 589.72
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 596.16
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 602.51
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 608.8
Acton: 1 | Reward: 0.000000
Steps Taken: 48 | Time Diff: 615.49
Acton: 1 | Reward: 0.000000
Steps Taken: 49 | Time Diff: 621.96
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 628.22
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 634.54
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 640.86
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 647.24
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 653.42
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 659.96
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 666.23
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 672.71
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 679.2
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 685.78
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 692.17
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 698.63
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 705.14
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 711.57
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 718.04
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 724.56
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 730.66
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 737.2
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 743.71
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 750.05
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 756.44
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 762.7
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 769.07
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 775.29
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 781.78
Acton: 1 | Reward: 0.000000
