SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.300000
---------------------------
Steps Taken: 1 | Time Diff: 5.26
Steps Taken: 2 | Time Diff: 10.56
Steps Taken: 3 | Time Diff: 15.86
Steps Taken: 4 | Time Diff: 21.16
Steps Taken: 5 | Time Diff: 26.42
Steps Taken: 6 | Time Diff: 31.71
Steps Taken: 7 | Time Diff: 37.0
Steps Taken: 8 | Time Diff: 42.28
Steps Taken: 9 | Time Diff: 47.58
Steps Taken: 10 | Time Diff: 52.87
Steps Taken: 11 | Time Diff: 58.17
Steps Taken: 12 | Time Diff: 63.47
Steps Taken: 13 | Time Diff: 68.77
Steps Taken: 14 | Time Diff: 74.07
Steps Taken: 15 | Time Diff: 79.38
Steps Taken: 16 | Time Diff: 84.68
Steps Taken: 17 | Time Diff: 89.99
Steps Taken: 18 | Time Diff: 95.29
Steps Taken: 19 | Time Diff: 100.59
Steps Taken: 20 | Time Diff: 105.88
Steps Taken: 21 | Time Diff: 111.19
Steps Taken: 22 | Time Diff: 116.49
Steps Taken: 23 | Time Diff: 121.8
Steps Taken: 24 | Time Diff: 127.1
Steps Taken: 25 | Time Diff: 132.4
Steps Taken: 26 | Time Diff: 137.7
Steps Taken: 27 | Time Diff: 143.01
Steps Taken: 28 | Time Diff: 148.3
Steps Taken: 29 | Time Diff: 153.59
Steps Taken: 30 | Time Diff: 158.89
Steps Taken: 31 | Time Diff: 164.19
Steps Taken: 32 | Time Diff: 169.48
Steps Taken: 33 | Time Diff: 174.78
Steps Taken: 34 | Time Diff: 180.06
Steps Taken: 35 | Time Diff: 185.35
Steps Taken: 36 | Time Diff: 190.64
Steps Taken: 37 | Time Diff: 195.94
Steps Taken: 38 | Time Diff: 201.26
Steps Taken: 39 | Time Diff: 206.55
Steps Taken: 40 | Time Diff: 211.85
Steps Taken: 41 | Time Diff: 217.16
Steps Taken: 42 | Time Diff: 222.45
Steps Taken: 43 | Time Diff: 227.73
Steps Taken: 44 | Time Diff: 233.01
Steps Taken: 45 | Time Diff: 238.3
Steps Taken: 46 | Time Diff: 243.6
Steps Taken: 47 | Time Diff: 248.88
Steps Taken: 48 | Time Diff: 254.17
Steps Taken: 49 | Time Diff: 259.46
Steps Taken: 50 | Time Diff: 264.75
Steps Taken: 1 | Time Diff: 270.02
