SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.800000
Steps Taken: 1 | Time Diff: 4.38
Acton: 0 | Reward: -0.200000
Steps Taken: 2 | Time Diff: 8.78
Acton: 0 | Reward: 0.800000
Steps Taken: 3 | Time Diff: 13.18
Acton: 0 | Reward: 0.800000
Steps Taken: 4 | Time Diff: 17.58
Acton: 0 | Reward: 0.800000
Steps Taken: 5 | Time Diff: 21.97
Acton: 0 | Reward: 0.800000
Steps Taken: 6 | Time Diff: 26.36
Acton: 0 | Reward: -0.200000
Steps Taken: 7 | Time Diff: 30.77
Acton: 0 | Reward: 0.800000
Steps Taken: 8 | Time Diff: 35.18
Acton: 0 | Reward: -0.200000
Steps Taken: 9 | Time Diff: 39.58
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 43.99
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 48.39
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 52.79
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 57.2
Acton: 0 | Reward: 0.800000
Steps Taken: 14 | Time Diff: 61.62
Acton: 0 | Reward: -0.200000
Steps Taken: 15 | Time Diff: 66.02
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 70.42
Acton: 0 | Reward: 0.800000
Steps Taken: 17 | Time Diff: 74.84
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 79.24
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 83.64
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 88.07
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 92.48
Acton: 0 | Reward: 0.800000
Steps Taken: 22 | Time Diff: 96.88
Acton: 0 | Reward: -0.200000
Steps Taken: 23 | Time Diff: 101.28
Acton: 0 | Reward: 0.800000
Steps Taken: 24 | Time Diff: 105.69
Acton: 0 | Reward: 0.800000
Steps Taken: 25 | Time Diff: 110.1
Acton: 0 | Reward: 0.800000
Steps Taken: 26 | Time Diff: 114.76
Acton: 0 | Reward: -0.200000
Steps Taken: 27 | Time Diff: 119.84
Acton: 0 | Reward: -0.200000
Steps Taken: 28 | Time Diff: 124.25
Acton: 0 | Reward: -0.200000
Steps Taken: 29 | Time Diff: 128.65
Acton: 0 | Reward: 0.800000
Steps Taken: 30 | Time Diff: 133.06
Acton: 0 | Reward: 0.800000
Steps Taken: 31 | Time Diff: 137.47
Acton: 0 | Reward: 0.800000
Steps Taken: 32 | Time Diff: 142.66
Acton: 0 | Reward: -0.200000
Steps Taken: 33 | Time Diff: 147.06
Acton: 0 | Reward: 0.800000
Steps Taken: 34 | Time Diff: 151.47
