SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.850000
---------------------------
Steps Taken: 1 | Time Diff: 5.17
Steps Taken: 2 | Time Diff: 10.37
Steps Taken: 3 | Time Diff: 15.58
Steps Taken: 4 | Time Diff: 20.78
Steps Taken: 5 | Time Diff: 25.96
Steps Taken: 6 | Time Diff: 31.15
Steps Taken: 7 | Time Diff: 36.33
Steps Taken: 8 | Time Diff: 41.52
Steps Taken: 9 | Time Diff: 46.7
Steps Taken: 10 | Time Diff: 51.88
Steps Taken: 11 | Time Diff: 57.06
Steps Taken: 12 | Time Diff: 62.24
Steps Taken: 13 | Time Diff: 67.45
Steps Taken: 14 | Time Diff: 72.65
Steps Taken: 15 | Time Diff: 77.85
Steps Taken: 16 | Time Diff: 83.05
Steps Taken: 17 | Time Diff: 88.23
Steps Taken: 18 | Time Diff: 93.41
Steps Taken: 19 | Time Diff: 98.6
Steps Taken: 20 | Time Diff: 103.79
Steps Taken: 21 | Time Diff: 108.97
Steps Taken: 22 | Time Diff: 114.14
Steps Taken: 23 | Time Diff: 119.32
Steps Taken: 24 | Time Diff: 124.5
Steps Taken: 25 | Time Diff: 129.69
Steps Taken: 26 | Time Diff: 134.88
Steps Taken: 27 | Time Diff: 140.08
Steps Taken: 28 | Time Diff: 145.26
Steps Taken: 29 | Time Diff: 150.46
Steps Taken: 30 | Time Diff: 155.65
Steps Taken: 31 | Time Diff: 160.82
Steps Taken: 32 | Time Diff: 166.01
Steps Taken: 33 | Time Diff: 171.2
Steps Taken: 34 | Time Diff: 176.37
