SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.450000
---------------------------
Steps Taken: 1 | Time Diff: 5.11
Steps Taken: 2 | Time Diff: 10.28
Steps Taken: 3 | Time Diff: 15.45
Steps Taken: 4 | Time Diff: 20.68
Steps Taken: 5 | Time Diff: 26.1
Steps Taken: 6 | Time Diff: 31.5
Steps Taken: 7 | Time Diff: 36.91
Steps Taken: 8 | Time Diff: 42.31
Steps Taken: 9 | Time Diff: 47.69
Steps Taken: 10 | Time Diff: 53.11
Steps Taken: 11 | Time Diff: 58.5
Steps Taken: 12 | Time Diff: 63.89
Steps Taken: 13 | Time Diff: 69.28
Steps Taken: 14 | Time Diff: 74.7
Steps Taken: 15 | Time Diff: 80.09
Steps Taken: 16 | Time Diff: 85.49
Steps Taken: 17 | Time Diff: 90.9
Steps Taken: 18 | Time Diff: 96.31
Steps Taken: 19 | Time Diff: 101.72
Steps Taken: 20 | Time Diff: 107.13
Steps Taken: 21 | Time Diff: 112.54
Steps Taken: 22 | Time Diff: 117.92
Steps Taken: 23 | Time Diff: 123.26
Steps Taken: 24 | Time Diff: 128.61
Steps Taken: 25 | Time Diff: 133.87
Steps Taken: 26 | Time Diff: 139.22
Steps Taken: 27 | Time Diff: 144.62
Steps Taken: 28 | Time Diff: 150.01
Steps Taken: 29 | Time Diff: 155.42
Steps Taken: 30 | Time Diff: 160.81
Steps Taken: 31 | Time Diff: 166.21
Steps Taken: 32 | Time Diff: 171.61
Steps Taken: 33 | Time Diff: 176.99
Steps Taken: 34 | Time Diff: 182.4
Steps Taken: 35 | Time Diff: 187.81
Steps Taken: 36 | Time Diff: 193.2
Steps Taken: 37 | Time Diff: 198.61
Steps Taken: 38 | Time Diff: 203.98
Steps Taken: 39 | Time Diff: 209.38
Steps Taken: 40 | Time Diff: 214.77
Steps Taken: 41 | Time Diff: 220.17
Steps Taken: 42 | Time Diff: 225.58
Steps Taken: 43 | Time Diff: 231.0
Steps Taken: 44 | Time Diff: 236.4
Steps Taken: 45 | Time Diff: 241.76
Steps Taken: 46 | Time Diff: 247.11
Steps Taken: 47 | Time Diff: 252.4
Steps Taken: 48 | Time Diff: 259.03
Steps Taken: 49 | Time Diff: 266.19
Steps Taken: 50 | Time Diff: 272.24
Steps Taken: 1 | Time Diff: 277.64
Steps Taken: 2 | Time Diff: 283.04
Steps Taken: 3 | Time Diff: 288.45
Steps Taken: 4 | Time Diff: 293.87
Steps Taken: 5 | Time Diff: 299.29
Steps Taken: 6 | Time Diff: 304.7
Steps Taken: 7 | Time Diff: 310.15
Steps Taken: 8 | Time Diff: 315.58
Steps Taken: 9 | Time Diff: 320.98
Steps Taken: 10 | Time Diff: 326.39
Steps Taken: 11 | Time Diff: 331.82
Steps Taken: 12 | Time Diff: 337.21
Steps Taken: 13 | Time Diff: 342.61
Steps Taken: 14 | Time Diff: 348.0
Steps Taken: 15 | Time Diff: 353.42
Steps Taken: 16 | Time Diff: 358.79
Steps Taken: 17 | Time Diff: 364.17
Steps Taken: 18 | Time Diff: 369.44
Steps Taken: 19 | Time Diff: 374.61
Steps Taken: 20 | Time Diff: 379.9
Steps Taken: 21 | Time Diff: 385.22
Steps Taken: 22 | Time Diff: 390.48
Steps Taken: 23 | Time Diff: 395.77
Steps Taken: 24 | Time Diff: 401.06
Steps Taken: 25 | Time Diff: 406.36
Steps Taken: 26 | Time Diff: 411.66
Steps Taken: 27 | Time Diff: 416.96
Steps Taken: 28 | Time Diff: 422.28
Steps Taken: 29 | Time Diff: 427.6
Steps Taken: 30 | Time Diff: 432.89
Steps Taken: 31 | Time Diff: 438.22
Steps Taken: 32 | Time Diff: 443.5
Steps Taken: 33 | Time Diff: 448.76
Steps Taken: 34 | Time Diff: 454.0
Steps Taken: 35 | Time Diff: 459.24
Steps Taken: 36 | Time Diff: 464.49
Steps Taken: 37 | Time Diff: 469.73
Steps Taken: 38 | Time Diff: 474.97
Steps Taken: 39 | Time Diff: 480.21
Steps Taken: 40 | Time Diff: 485.42
Steps Taken: 41 | Time Diff: 490.64
Steps Taken: 42 | Time Diff: 495.87
Steps Taken: 43 | Time Diff: 501.09
Steps Taken: 44 | Time Diff: 506.33
Steps Taken: 45 | Time Diff: 511.54
Steps Taken: 46 | Time Diff: 516.78
Steps Taken: 47 | Time Diff: 522.03
Steps Taken: 48 | Time Diff: 527.3
Steps Taken: 49 | Time Diff: 532.58
Steps Taken: 50 | Time Diff: 537.86
Steps Taken: 1 | Time Diff: 543.19
Steps Taken: 2 | Time Diff: 548.52
Steps Taken: 3 | Time Diff: 553.85
Steps Taken: 4 | Time Diff: 559.15
Steps Taken: 5 | Time Diff: 564.47
Steps Taken: 6 | Time Diff: 569.8
Steps Taken: 7 | Time Diff: 575.07
Steps Taken: 8 | Time Diff: 580.33
Steps Taken: 9 | Time Diff: 585.57
Steps Taken: 10 | Time Diff: 590.81
Steps Taken: 11 | Time Diff: 596.04
Steps Taken: 12 | Time Diff: 601.25
Steps Taken: 13 | Time Diff: 606.48
Steps Taken: 14 | Time Diff: 611.69
Steps Taken: 15 | Time Diff: 616.9
Steps Taken: 16 | Time Diff: 622.13
Steps Taken: 17 | Time Diff: 627.35
Steps Taken: 18 | Time Diff: 632.54
Steps Taken: 19 | Time Diff: 637.75
Steps Taken: 20 | Time Diff: 643.01
Steps Taken: 21 | Time Diff: 648.23
Steps Taken: 22 | Time Diff: 653.44
Steps Taken: 23 | Time Diff: 658.67
Steps Taken: 24 | Time Diff: 663.9
Steps Taken: 25 | Time Diff: 669.09
Steps Taken: 26 | Time Diff: 674.35
