SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.150000
---------------------------
Steps Taken: 1 | Time Diff: 5.499523
Steps Taken: 2 | Time Diff: 10.523284
Steps Taken: 3 | Time Diff: 15.553774
Steps Taken: 4 | Time Diff: 20.752475
Steps Taken: 5 | Time Diff: 26.580469
Steps Taken: 6 | Time Diff: 31.772396
Steps Taken: 7 | Time Diff: 36.616023
Steps Taken: 8 | Time Diff: 41.535288
Steps Taken: 9 | Time Diff: 47.544655
Steps Taken: 10 | Time Diff: 53.20457
Steps Taken: 11 | Time Diff: 60.448028
Steps Taken: 12 | Time Diff: 70.522014
Steps Taken: 13 | Time Diff: 77.332068
Steps Taken: 14 | Time Diff: 82.479739
Steps Taken: 15 | Time Diff: 89.030429
Steps Taken: 16 | Time Diff: 97.479739
Steps Taken: 17 | Time Diff: 106.043405
Steps Taken: 18 | Time Diff: 114.200311
Steps Taken: 19 | Time Diff: 121.180662
Steps Taken: 20 | Time Diff: 127.983028
Steps Taken: 21 | Time Diff: 134.49108
Steps Taken: 22 | Time Diff: 139.818217
Steps Taken: 23 | Time Diff: 144.777307
Steps Taken: 24 | Time Diff: 151.543728
Steps Taken: 25 | Time Diff: 158.401966
Steps Taken: 26 | Time Diff: 165.220433
Steps Taken: 27 | Time Diff: 172.5729
Steps Taken: 28 | Time Diff: 178.343853
Steps Taken: 29 | Time Diff: 184.630161
Steps Taken: 30 | Time Diff: 193.202396
Steps Taken: 31 | Time Diff: 201.186491
Steps Taken: 32 | Time Diff: 208.392128
Steps Taken: 33 | Time Diff: 215.244224
Steps Taken: 34 | Time Diff: 222.571958
