SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.050000
---------------------------
Steps Taken: 1 | Time Diff: 5.39
Steps Taken: 2 | Time Diff: 10.82
Steps Taken: 3 | Time Diff: 16.28
Steps Taken: 4 | Time Diff: 21.72
Steps Taken: 5 | Time Diff: 27.15
Steps Taken: 6 | Time Diff: 32.6
Steps Taken: 7 | Time Diff: 41.98
Steps Taken: 8 | Time Diff: 53.21
Steps Taken: 9 | Time Diff: 64.48
Steps Taken: 10 | Time Diff: 75.72
Steps Taken: 11 | Time Diff: 86.97
Steps Taken: 12 | Time Diff: 97.77
Steps Taken: 13 | Time Diff: 103.19
Steps Taken: 14 | Time Diff: 108.63
Steps Taken: 15 | Time Diff: 114.07
Steps Taken: 16 | Time Diff: 119.52
Steps Taken: 17 | Time Diff: 124.95
Steps Taken: 18 | Time Diff: 130.39
Steps Taken: 19 | Time Diff: 135.85
Steps Taken: 20 | Time Diff: 141.31
Steps Taken: 21 | Time Diff: 146.75
Steps Taken: 22 | Time Diff: 152.2
Steps Taken: 23 | Time Diff: 157.64
Steps Taken: 24 | Time Diff: 163.08
Steps Taken: 25 | Time Diff: 168.51
Steps Taken: 26 | Time Diff: 173.95
Steps Taken: 27 | Time Diff: 179.42
Steps Taken: 28 | Time Diff: 184.85
Steps Taken: 29 | Time Diff: 190.32
Steps Taken: 30 | Time Diff: 195.78
Steps Taken: 31 | Time Diff: 201.22
Steps Taken: 32 | Time Diff: 206.66
Steps Taken: 33 | Time Diff: 212.1
Steps Taken: 34 | Time Diff: 217.53
Steps Taken: 35 | Time Diff: 222.98
Steps Taken: 36 | Time Diff: 228.41
Steps Taken: 37 | Time Diff: 233.85
Steps Taken: 38 | Time Diff: 239.29
Steps Taken: 39 | Time Diff: 244.72
Steps Taken: 40 | Time Diff: 250.15
Steps Taken: 41 | Time Diff: 255.58
Steps Taken: 42 | Time Diff: 261.01
Steps Taken: 43 | Time Diff: 266.45
Steps Taken: 44 | Time Diff: 271.89
Steps Taken: 45 | Time Diff: 277.34
Steps Taken: 46 | Time Diff: 282.79
Steps Taken: 47 | Time Diff: 288.24
Steps Taken: 48 | Time Diff: 293.68
Steps Taken: 49 | Time Diff: 299.14
Steps Taken: 50 | Time Diff: 304.59
Steps Taken: 1 | Time Diff: 310.02
Steps Taken: 2 | Time Diff: 315.47
Steps Taken: 3 | Time Diff: 320.96
Steps Taken: 4 | Time Diff: 326.43
Steps Taken: 5 | Time Diff: 331.89
Steps Taken: 6 | Time Diff: 337.36
Steps Taken: 7 | Time Diff: 342.82
Steps Taken: 8 | Time Diff: 348.28
Steps Taken: 9 | Time Diff: 353.74
Steps Taken: 10 | Time Diff: 359.18
Steps Taken: 11 | Time Diff: 364.63
Steps Taken: 12 | Time Diff: 370.07
Steps Taken: 13 | Time Diff: 375.5
Steps Taken: 14 | Time Diff: 380.95
Steps Taken: 15 | Time Diff: 386.37
Steps Taken: 16 | Time Diff: 391.82
Steps Taken: 17 | Time Diff: 397.27
Steps Taken: 18 | Time Diff: 402.71
Steps Taken: 19 | Time Diff: 408.15
Steps Taken: 20 | Time Diff: 413.59
Steps Taken: 21 | Time Diff: 419.04
Steps Taken: 22 | Time Diff: 424.47
Steps Taken: 23 | Time Diff: 429.92
Steps Taken: 24 | Time Diff: 435.35
Steps Taken: 25 | Time Diff: 440.79
Steps Taken: 26 | Time Diff: 446.21
Steps Taken: 27 | Time Diff: 451.66
Steps Taken: 28 | Time Diff: 457.11
Steps Taken: 29 | Time Diff: 462.55
Steps Taken: 30 | Time Diff: 468.0
Steps Taken: 31 | Time Diff: 473.43
Steps Taken: 32 | Time Diff: 478.86
Steps Taken: 33 | Time Diff: 484.3
Steps Taken: 34 | Time Diff: 489.76
Steps Taken: 35 | Time Diff: 495.2
Steps Taken: 36 | Time Diff: 500.62
Steps Taken: 37 | Time Diff: 506.06
Steps Taken: 38 | Time Diff: 511.51
Steps Taken: 39 | Time Diff: 516.95
Steps Taken: 40 | Time Diff: 522.39
Steps Taken: 41 | Time Diff: 527.83
Steps Taken: 42 | Time Diff: 533.27
Steps Taken: 43 | Time Diff: 538.71
Steps Taken: 44 | Time Diff: 544.15
Steps Taken: 45 | Time Diff: 549.6
Steps Taken: 46 | Time Diff: 555.03
Steps Taken: 47 | Time Diff: 560.47
Steps Taken: 48 | Time Diff: 565.91
Steps Taken: 49 | Time Diff: 571.35
Steps Taken: 50 | Time Diff: 576.78
Steps Taken: 1 | Time Diff: 582.22
Steps Taken: 2 | Time Diff: 587.65
Steps Taken: 3 | Time Diff: 593.07
Steps Taken: 4 | Time Diff: 598.52
Steps Taken: 5 | Time Diff: 603.95
Steps Taken: 6 | Time Diff: 609.38
Steps Taken: 7 | Time Diff: 614.84
Steps Taken: 8 | Time Diff: 620.27
Steps Taken: 9 | Time Diff: 625.7
Steps Taken: 10 | Time Diff: 631.14
Steps Taken: 11 | Time Diff: 636.59
Steps Taken: 12 | Time Diff: 642.03
Steps Taken: 13 | Time Diff: 647.46
Steps Taken: 14 | Time Diff: 652.89
Steps Taken: 15 | Time Diff: 658.34
Steps Taken: 16 | Time Diff: 663.78
Steps Taken: 17 | Time Diff: 669.22
Steps Taken: 18 | Time Diff: 674.68
Steps Taken: 19 | Time Diff: 680.1
Steps Taken: 20 | Time Diff: 685.53
Steps Taken: 21 | Time Diff: 690.97
Steps Taken: 22 | Time Diff: 696.41
Steps Taken: 23 | Time Diff: 701.84
Steps Taken: 24 | Time Diff: 707.28
Steps Taken: 25 | Time Diff: 712.71
Steps Taken: 26 | Time Diff: 718.15
Steps Taken: 27 | Time Diff: 723.58
Steps Taken: 28 | Time Diff: 729.04
Steps Taken: 29 | Time Diff: 734.46
Steps Taken: 30 | Time Diff: 739.9
Steps Taken: 31 | Time Diff: 745.34
Steps Taken: 32 | Time Diff: 750.78
Steps Taken: 33 | Time Diff: 756.24
Steps Taken: 34 | Time Diff: 761.68
Steps Taken: 35 | Time Diff: 767.14
Steps Taken: 36 | Time Diff: 772.58
Steps Taken: 37 | Time Diff: 778.02
Steps Taken: 38 | Time Diff: 783.45
Steps Taken: 39 | Time Diff: 788.91
Steps Taken: 40 | Time Diff: 794.36
Steps Taken: 41 | Time Diff: 799.8
Steps Taken: 42 | Time Diff: 805.24
Steps Taken: 43 | Time Diff: 810.69
Steps Taken: 44 | Time Diff: 816.14
Steps Taken: 45 | Time Diff: 821.58
Steps Taken: 46 | Time Diff: 827.08
Steps Taken: 47 | Time Diff: 832.52
Steps Taken: 48 | Time Diff: 837.97
Steps Taken: 49 | Time Diff: 843.41
Steps Taken: 50 | Time Diff: 848.85
Steps Taken: 1 | Time Diff: 854.28
Steps Taken: 2 | Time Diff: 859.74
Steps Taken: 3 | Time Diff: 865.18
Steps Taken: 4 | Time Diff: 870.63
Steps Taken: 5 | Time Diff: 876.07
Steps Taken: 6 | Time Diff: 881.52
Steps Taken: 7 | Time Diff: 886.97
Steps Taken: 8 | Time Diff: 892.42
Steps Taken: 9 | Time Diff: 897.88
Steps Taken: 10 | Time Diff: 903.31
Steps Taken: 11 | Time Diff: 908.75
Steps Taken: 12 | Time Diff: 914.19
Steps Taken: 13 | Time Diff: 919.63
Steps Taken: 14 | Time Diff: 925.06
Steps Taken: 15 | Time Diff: 930.51
Steps Taken: 16 | Time Diff: 935.97
Steps Taken: 17 | Time Diff: 941.41
Steps Taken: 18 | Time Diff: 946.86
Steps Taken: 19 | Time Diff: 952.29
Steps Taken: 20 | Time Diff: 957.74
Steps Taken: 21 | Time Diff: 963.18
Steps Taken: 22 | Time Diff: 968.61
Steps Taken: 23 | Time Diff: 974.05
Steps Taken: 24 | Time Diff: 979.5
Steps Taken: 25 | Time Diff: 984.94
Steps Taken: 26 | Time Diff: 990.38
Steps Taken: 27 | Time Diff: 995.83
Steps Taken: 28 | Time Diff: 1001.26
Steps Taken: 29 | Time Diff: 1006.71
Steps Taken: 30 | Time Diff: 1012.16
Steps Taken: 31 | Time Diff: 1017.62
Steps Taken: 32 | Time Diff: 1023.05
Steps Taken: 33 | Time Diff: 1028.5
Steps Taken: 34 | Time Diff: 1033.95
Steps Taken: 35 | Time Diff: 1039.39
Steps Taken: 36 | Time Diff: 1044.83
Steps Taken: 37 | Time Diff: 1050.28
Steps Taken: 38 | Time Diff: 1055.74
Steps Taken: 39 | Time Diff: 1061.18
Steps Taken: 40 | Time Diff: 1066.62
Steps Taken: 41 | Time Diff: 1072.05
Steps Taken: 42 | Time Diff: 1077.49
Steps Taken: 43 | Time Diff: 1082.94
Steps Taken: 44 | Time Diff: 1088.38
Steps Taken: 45 | Time Diff: 1093.83
Steps Taken: 46 | Time Diff: 1099.26
Steps Taken: 47 | Time Diff: 1104.71
Steps Taken: 48 | Time Diff: 1110.15
Steps Taken: 49 | Time Diff: 1115.59
Steps Taken: 50 | Time Diff: 1121.04
Steps Taken: 1 | Time Diff: 1126.46
Steps Taken: 2 | Time Diff: 1131.92
Steps Taken: 3 | Time Diff: 1137.38
Steps Taken: 4 | Time Diff: 1142.84
Steps Taken: 5 | Time Diff: 1148.28
Steps Taken: 6 | Time Diff: 1153.74
Steps Taken: 7 | Time Diff: 1159.2
Steps Taken: 8 | Time Diff: 1164.66
Steps Taken: 9 | Time Diff: 1170.12
Steps Taken: 10 | Time Diff: 1175.58
Steps Taken: 11 | Time Diff: 1181.03
Steps Taken: 12 | Time Diff: 1186.49
