SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.400000
Steps Taken: 1 | Time Diff: 9.35
Acton: 0 | Reward: 0.400000
Steps Taken: 2 | Time Diff: 18.56
Acton: 0 | Reward: 0.400000
Steps Taken: 3 | Time Diff: 27.95
Acton: 0 | Reward: 0.400000
Steps Taken: 4 | Time Diff: 37.36
Acton: 0 | Reward: -0.600000
Steps Taken: 5 | Time Diff: 46.63
Acton: 0 | Reward: 0.400000
Steps Taken: 6 | Time Diff: 55.8
Acton: 0 | Reward: -0.600000
Steps Taken: 7 | Time Diff: 62.78
Acton: 0 | Reward: -0.600000
Steps Taken: 8 | Time Diff: 67.24
Acton: 0 | Reward: 0.400000
Steps Taken: 9 | Time Diff: 71.68
Acton: 0 | Reward: -0.600000
Steps Taken: 10 | Time Diff: 76.14
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 80.6
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 85.06
Acton: 0 | Reward: 0.400000
Steps Taken: 13 | Time Diff: 89.51
Acton: 0 | Reward: 0.400000
Steps Taken: 14 | Time Diff: 93.97
Acton: 0 | Reward: -0.600000
Steps Taken: 15 | Time Diff: 98.42
Acton: 0 | Reward: 0.400000
Steps Taken: 16 | Time Diff: 102.88
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 107.33
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 111.79
Acton: 1 | Reward: 0.000000
