SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.600000
Steps Taken: 1 | Time Diff: 4.41
Acton: 0 | Reward: -0.400000
Steps Taken: 2 | Time Diff: 10.36
Acton: 0 | Reward: -0.400000
Steps Taken: 3 | Time Diff: 18.11
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 23.86
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 33.33
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 40.57
Acton: 0 | Reward: -0.400000
Steps Taken: 7 | Time Diff: 47.43
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 56.12
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 65.54
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 74.93
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 84.37
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 93.77
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 103.17
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 112.59
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 121.99
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 131.41
Acton: 0 | Reward: -0.400000
Steps Taken: 17 | Time Diff: 140.82
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 150.21
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 159.61
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 169.01
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 173.64
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 178.04
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 182.43
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 187.19
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 193.05
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 197.45
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 201.85
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 206.24
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 210.65
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 215.06
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 221.04
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 230.43
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 239.85
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 248.41
Acton: 0 | Reward: -0.400000
Steps Taken: 35 | Time Diff: 254.56
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 260.0
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 269.57
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 279.09
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 288.45
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 295.77
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 305.22
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 314.7
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 321.44
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 330.8
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 338.65
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 348.03
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 354.05
Acton: 1 | Reward: 0.000000
Steps Taken: 48 | Time Diff: 362.81
Acton: 1 | Reward: 0.000000
Steps Taken: 49 | Time Diff: 372.29
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 381.71
Acton: 0 | Reward: -0.400000
Steps Taken: 1 | Time Diff: 391.17
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 400.65
Acton: 0 | Reward: 0.600000
Steps Taken: 3 | Time Diff: 408.14
Acton: 0 | Reward: -0.400000
Steps Taken: 4 | Time Diff: 415.52
Acton: 0 | Reward: -0.400000
Steps Taken: 5 | Time Diff: 424.91
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 434.3
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 443.67
Acton: 0 | Reward: -0.400000
Steps Taken: 8 | Time Diff: 453.05
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 462.41
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 471.78
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 481.17
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 490.56
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 500.01
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 509.47
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 516.17
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 522.55
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 526.99
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 536.41
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 545.64
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 552.25
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 561.72
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 568.43
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 577.91
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 587.39
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 596.87
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 606.37
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 615.87
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 625.38
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 634.87
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 644.37
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 653.88
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 663.39
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 672.9
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 680.59
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 685.34
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 691.01
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 699.14
Acton: 0 | Reward: -0.400000
Steps Taken: 38 | Time Diff: 708.68
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 718.23
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 727.04
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 733.86
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 740.81
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 750.21
Acton: 0 | Reward: 0.600000
Steps Taken: 44 | Time Diff: 759.69
Acton: 0 | Reward: 0.600000
Steps Taken: 45 | Time Diff: 769.07
