SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.900000
Steps Taken: 1 | Time Diff: 4.55
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 9.16
Acton: 0 | Reward: -0.100000
Steps Taken: 3 | Time Diff: 13.75
Acton: 0 | Reward: -0.100000
Steps Taken: 4 | Time Diff: 18.36
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 22.94
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 27.51
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 32.09
Acton: 0 | Reward: -0.100000
Steps Taken: 8 | Time Diff: 36.7
Acton: 0 | Reward: 0.900000
Steps Taken: 9 | Time Diff: 41.28
Acton: 0 | Reward: 0.900000
Steps Taken: 10 | Time Diff: 45.87
Acton: 0 | Reward: -0.100000
Steps Taken: 11 | Time Diff: 50.48
Acton: 0 | Reward: 0.900000
Steps Taken: 12 | Time Diff: 55.05
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 59.64
Acton: 0 | Reward: 0.900000
Steps Taken: 14 | Time Diff: 64.22
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 68.79
Acton: 0 | Reward: 0.900000
Steps Taken: 16 | Time Diff: 73.36
Acton: 0 | Reward: 0.900000
Steps Taken: 17 | Time Diff: 77.94
Acton: 0 | Reward: 0.900000
Steps Taken: 18 | Time Diff: 82.53
Acton: 0 | Reward: 0.900000
Steps Taken: 19 | Time Diff: 87.12
Acton: 0 | Reward: -0.100000
Steps Taken: 20 | Time Diff: 91.71
Acton: 0 | Reward: -0.100000
Steps Taken: 21 | Time Diff: 96.3
Acton: 0 | Reward: 0.900000
Steps Taken: 22 | Time Diff: 100.87
Acton: 0 | Reward: 0.900000
Steps Taken: 23 | Time Diff: 105.45
Acton: 0 | Reward: 0.900000
Steps Taken: 24 | Time Diff: 110.03
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 114.62
Acton: 0 | Reward: -0.100000
Steps Taken: 26 | Time Diff: 119.21
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 123.79
Acton: 0 | Reward: -0.100000
Steps Taken: 28 | Time Diff: 128.37
Acton: 0 | Reward: 0.900000
Steps Taken: 29 | Time Diff: 132.96
Acton: 0 | Reward: -0.100000
Steps Taken: 30 | Time Diff: 137.55
Acton: 0 | Reward: 0.900000
Steps Taken: 31 | Time Diff: 142.16
Acton: 0 | Reward: 0.900000
Steps Taken: 32 | Time Diff: 146.75
Acton: 0 | Reward: 0.900000
Steps Taken: 33 | Time Diff: 151.36
Acton: 0 | Reward: -0.100000
Steps Taken: 34 | Time Diff: 155.94
Acton: 0 | Reward: 0.900000
Steps Taken: 35 | Time Diff: 160.52
Acton: 0 | Reward: -0.100000
Steps Taken: 36 | Time Diff: 165.13
Acton: 0 | Reward: 0.900000
Steps Taken: 37 | Time Diff: 169.71
Acton: 0 | Reward: 0.900000
Steps Taken: 38 | Time Diff: 174.28
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 178.87
Acton: 0 | Reward: -0.100000
Steps Taken: 40 | Time Diff: 183.48
Acton: 0 | Reward: -0.100000
Steps Taken: 41 | Time Diff: 188.07
Acton: 0 | Reward: -0.100000
Steps Taken: 42 | Time Diff: 192.67
Acton: 0 | Reward: -0.100000
Steps Taken: 43 | Time Diff: 197.26
Acton: 0 | Reward: -0.100000
Steps Taken: 44 | Time Diff: 201.85
Acton: 0 | Reward: 0.900000
Steps Taken: 45 | Time Diff: 206.45
Acton: 0 | Reward: -0.100000
Steps Taken: 46 | Time Diff: 211.04
Acton: 0 | Reward: 0.900000
Steps Taken: 47 | Time Diff: 215.65
Acton: 0 | Reward: -0.100000
Steps Taken: 48 | Time Diff: 220.24
Acton: 0 | Reward: -0.100000
Steps Taken: 49 | Time Diff: 224.81
Acton: 0 | Reward: 0.900000
Steps Taken: 50 | Time Diff: 229.38
Acton: 0 | Reward: 0.900000
Steps Taken: 1 | Time Diff: 233.98
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 238.56
Acton: 0 | Reward: -0.100000
Steps Taken: 3 | Time Diff: 243.16
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 247.76
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 252.36
Acton: 0 | Reward: -0.100000
Steps Taken: 6 | Time Diff: 256.95
Acton: 0 | Reward: -0.100000
Steps Taken: 7 | Time Diff: 261.54
Acton: 0 | Reward: -0.100000
Steps Taken: 8 | Time Diff: 266.13
Acton: 0 | Reward: -0.100000
Steps Taken: 9 | Time Diff: 270.7
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 275.3
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 279.87
Acton: 0 | Reward: -0.100000
Steps Taken: 12 | Time Diff: 284.46
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 289.05
Acton: 0 | Reward: 0.900000
Steps Taken: 14 | Time Diff: 293.63
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 298.23
Acton: 0 | Reward: -0.100000
Steps Taken: 16 | Time Diff: 302.83
Acton: 0 | Reward: 0.900000
Steps Taken: 17 | Time Diff: 307.43
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 312.01
Acton: 0 | Reward: 0.900000
Steps Taken: 19 | Time Diff: 316.58
Acton: 0 | Reward: 0.900000
Steps Taken: 20 | Time Diff: 321.18
Acton: 0 | Reward: 0.900000
Steps Taken: 21 | Time Diff: 325.77
Acton: 0 | Reward: -0.100000
Steps Taken: 22 | Time Diff: 330.34
Acton: 0 | Reward: -0.100000
Steps Taken: 23 | Time Diff: 334.92
Acton: 0 | Reward: 0.900000
Steps Taken: 24 | Time Diff: 339.51
Acton: 0 | Reward: 0.900000
Steps Taken: 25 | Time Diff: 344.1
Acton: 0 | Reward: 0.900000
Steps Taken: 26 | Time Diff: 348.69
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 353.28
Acton: 0 | Reward: 0.900000
Steps Taken: 28 | Time Diff: 357.87
Acton: 0 | Reward: -0.100000
Steps Taken: 29 | Time Diff: 362.45
Acton: 0 | Reward: -0.100000
Steps Taken: 30 | Time Diff: 367.03
Acton: 0 | Reward: 0.900000
Steps Taken: 31 | Time Diff: 371.61
Acton: 0 | Reward: -0.100000
Steps Taken: 32 | Time Diff: 376.19
Acton: 0 | Reward: -0.100000
Steps Taken: 33 | Time Diff: 380.78
Acton: 0 | Reward: -0.100000
Steps Taken: 34 | Time Diff: 385.39
Acton: 0 | Reward: -0.100000
Steps Taken: 35 | Time Diff: 389.98
Acton: 0 | Reward: -0.100000
Steps Taken: 36 | Time Diff: 394.56
Acton: 0 | Reward: 0.900000
Steps Taken: 37 | Time Diff: 399.14
Acton: 0 | Reward: 0.900000
Steps Taken: 38 | Time Diff: 403.73
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 408.32
Acton: 0 | Reward: 0.900000
Steps Taken: 40 | Time Diff: 412.9
Acton: 0 | Reward: 0.900000
Steps Taken: 41 | Time Diff: 417.49
Acton: 0 | Reward: 0.900000
Steps Taken: 42 | Time Diff: 422.07
Acton: 0 | Reward: 0.900000
Steps Taken: 43 | Time Diff: 426.66
Acton: 0 | Reward: 0.900000
Steps Taken: 44 | Time Diff: 431.24
Acton: 0 | Reward: -0.100000
Steps Taken: 45 | Time Diff: 435.8
Acton: 0 | Reward: -0.100000
Steps Taken: 46 | Time Diff: 440.39
Acton: 0 | Reward: 0.900000
Steps Taken: 47 | Time Diff: 444.96
Acton: 0 | Reward: 0.900000
Steps Taken: 48 | Time Diff: 449.55
Acton: 0 | Reward: -0.100000
Steps Taken: 49 | Time Diff: 454.14
Acton: 0 | Reward: 0.900000
Steps Taken: 50 | Time Diff: 458.73
Acton: 0 | Reward: 0.900000
Steps Taken: 1 | Time Diff: 463.32
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 467.92
Acton: 0 | Reward: -0.100000
Steps Taken: 3 | Time Diff: 472.53
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 477.14
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 481.75
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 486.36
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 490.96
Acton: 0 | Reward: -0.100000
Steps Taken: 8 | Time Diff: 495.56
Acton: 0 | Reward: -0.100000
Steps Taken: 9 | Time Diff: 500.18
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 504.82
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 509.45
Acton: 0 | Reward: -0.100000
Steps Taken: 12 | Time Diff: 514.1
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 518.71
Acton: 0 | Reward: -0.100000
Steps Taken: 14 | Time Diff: 523.32
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 527.92
Acton: 0 | Reward: -0.100000
Steps Taken: 16 | Time Diff: 532.53
Acton: 0 | Reward: -0.100000
Steps Taken: 17 | Time Diff: 537.13
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 541.72
Acton: 0 | Reward: 0.900000
Steps Taken: 19 | Time Diff: 546.33
Acton: 0 | Reward: 0.900000
Steps Taken: 20 | Time Diff: 550.93
Acton: 0 | Reward: 0.900000
Steps Taken: 21 | Time Diff: 555.53
Acton: 0 | Reward: 0.900000
Steps Taken: 22 | Time Diff: 560.16
Acton: 0 | Reward: -0.100000
Steps Taken: 23 | Time Diff: 564.77
Acton: 0 | Reward: 0.900000
Steps Taken: 24 | Time Diff: 569.38
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 573.98
Acton: 0 | Reward: 0.900000
Steps Taken: 26 | Time Diff: 578.58
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 583.18
Acton: 0 | Reward: -0.100000
Steps Taken: 28 | Time Diff: 587.8
Acton: 0 | Reward: -0.100000
Steps Taken: 29 | Time Diff: 592.41
Acton: 0 | Reward: 0.900000
Steps Taken: 30 | Time Diff: 597.02
Acton: 0 | Reward: -0.100000
Steps Taken: 31 | Time Diff: 601.63
Acton: 0 | Reward: -0.100000
Steps Taken: 32 | Time Diff: 606.25
Acton: 0 | Reward: 0.900000
Steps Taken: 33 | Time Diff: 610.88
Acton: 0 | Reward: 0.900000
Steps Taken: 34 | Time Diff: 615.49
Acton: 0 | Reward: 0.900000
Steps Taken: 35 | Time Diff: 620.09
Acton: 0 | Reward: -0.100000
Steps Taken: 36 | Time Diff: 624.69
Acton: 0 | Reward: -0.100000
Steps Taken: 37 | Time Diff: 629.29
Acton: 0 | Reward: -0.100000
Steps Taken: 38 | Time Diff: 633.9
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 638.5
Acton: 0 | Reward: 0.900000
Steps Taken: 40 | Time Diff: 643.09
Acton: 0 | Reward: -0.100000
Steps Taken: 41 | Time Diff: 647.7
Acton: 0 | Reward: 0.900000
Steps Taken: 42 | Time Diff: 652.3
Acton: 0 | Reward: -0.100000
Steps Taken: 43 | Time Diff: 656.9
Acton: 0 | Reward: 0.900000
Steps Taken: 44 | Time Diff: 661.5
Acton: 0 | Reward: 0.900000
Steps Taken: 45 | Time Diff: 666.09
Acton: 0 | Reward: 0.900000
Steps Taken: 46 | Time Diff: 670.68
Acton: 0 | Reward: -0.100000
Steps Taken: 47 | Time Diff: 675.28
Acton: 0 | Reward: -0.100000
Steps Taken: 48 | Time Diff: 679.88
Acton: 0 | Reward: 0.900000
Steps Taken: 49 | Time Diff: 684.49
Acton: 0 | Reward: -0.100000
Steps Taken: 50 | Time Diff: 689.09
Acton: 0 | Reward: -0.100000
Steps Taken: 1 | Time Diff: 693.67
Acton: 0 | Reward: -0.100000
Steps Taken: 2 | Time Diff: 698.28
Acton: 0 | Reward: 0.900000
Steps Taken: 3 | Time Diff: 702.88
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 707.5
Acton: 0 | Reward: -0.100000
Steps Taken: 5 | Time Diff: 712.09
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 716.69
Acton: 0 | Reward: -0.100000
Steps Taken: 7 | Time Diff: 721.28
Acton: 0 | Reward: -0.100000
Steps Taken: 8 | Time Diff: 725.87
Acton: 0 | Reward: -0.100000
Steps Taken: 9 | Time Diff: 730.47
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 735.06
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 739.65
Acton: 0 | Reward: -0.100000
Steps Taken: 12 | Time Diff: 744.24
Acton: 0 | Reward: -0.100000
Steps Taken: 13 | Time Diff: 748.84
Acton: 0 | Reward: 0.900000
Steps Taken: 14 | Time Diff: 753.44
Acton: 0 | Reward: -0.100000
Steps Taken: 15 | Time Diff: 758.03
Acton: 0 | Reward: -0.100000
Steps Taken: 16 | Time Diff: 762.63
Acton: 0 | Reward: -0.100000
Steps Taken: 17 | Time Diff: 767.22
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 771.82
Acton: 0 | Reward: 0.900000
Steps Taken: 19 | Time Diff: 776.39
Acton: 0 | Reward: 0.900000
Steps Taken: 20 | Time Diff: 780.96
Acton: 0 | Reward: -0.100000
Steps Taken: 21 | Time Diff: 785.56
Acton: 0 | Reward: 0.900000
Steps Taken: 22 | Time Diff: 790.15
Acton: 0 | Reward: 0.900000
Steps Taken: 23 | Time Diff: 794.74
Acton: 0 | Reward: -0.100000
Steps Taken: 24 | Time Diff: 799.34
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 803.95
Acton: 0 | Reward: 0.900000
Steps Taken: 26 | Time Diff: 808.53
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 813.15
Acton: 0 | Reward: 0.900000
Steps Taken: 28 | Time Diff: 817.74
Acton: 0 | Reward: -0.100000
Steps Taken: 29 | Time Diff: 822.35
Acton: 0 | Reward: 0.900000
Steps Taken: 30 | Time Diff: 826.95
Acton: 0 | Reward: 0.900000
Steps Taken: 31 | Time Diff: 831.55
Acton: 0 | Reward: -0.100000
Steps Taken: 32 | Time Diff: 836.15
Acton: 0 | Reward: -0.100000
Steps Taken: 33 | Time Diff: 840.75
Acton: 0 | Reward: 0.900000
Steps Taken: 34 | Time Diff: 845.34
Acton: 0 | Reward: -0.100000
Steps Taken: 35 | Time Diff: 849.94
Acton: 0 | Reward: 0.900000
Steps Taken: 36 | Time Diff: 854.5
Acton: 0 | Reward: -0.100000
Steps Taken: 37 | Time Diff: 859.11
Acton: 0 | Reward: -0.100000
Steps Taken: 38 | Time Diff: 863.71
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 868.31
Acton: 0 | Reward: -0.100000
Steps Taken: 40 | Time Diff: 872.9
Acton: 0 | Reward: 0.900000
Steps Taken: 41 | Time Diff: 877.48
Acton: 0 | Reward: 0.900000
Steps Taken: 42 | Time Diff: 882.08
Acton: 0 | Reward: 0.900000
Steps Taken: 43 | Time Diff: 886.66
Acton: 0 | Reward: -0.100000
Steps Taken: 44 | Time Diff: 891.25
Acton: 0 | Reward: -0.100000
Steps Taken: 45 | Time Diff: 895.83
Acton: 0 | Reward: -0.100000
Steps Taken: 46 | Time Diff: 900.44
Acton: 0 | Reward: -0.100000
Steps Taken: 47 | Time Diff: 905.06
Acton: 0 | Reward: 0.900000
Steps Taken: 48 | Time Diff: 909.67
Acton: 0 | Reward: -0.100000
Steps Taken: 49 | Time Diff: 914.25
Acton: 0 | Reward: 0.900000
Steps Taken: 50 | Time Diff: 918.84
Acton: 0 | Reward: -0.100000
Steps Taken: 1 | Time Diff: 923.42
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 928.01
Acton: 0 | Reward: 0.900000
Steps Taken: 3 | Time Diff: 932.61
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 937.21
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 941.81
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 946.4
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 950.99
Acton: 0 | Reward: 0.900000
Steps Taken: 8 | Time Diff: 955.61
Acton: 0 | Reward: 0.900000
Steps Taken: 9 | Time Diff: 960.2
Acton: 0 | Reward: 0.900000
Steps Taken: 10 | Time Diff: 964.79
