SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.050000
Steps Taken: 1 | Time Diff: 4.44
Acton: 0 | Reward: -0.050000
Steps Taken: 2 | Time Diff: 8.88
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 15.44
Acton: 0 | Reward: -0.050000
Steps Taken: 4 | Time Diff: 19.9
Acton: 0 | Reward: 0.950000
Steps Taken: 5 | Time Diff: 24.35
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 28.81
Acton: 0 | Reward: -0.050000
Steps Taken: 7 | Time Diff: 33.26
Acton: 0 | Reward: 0.950000
Steps Taken: 8 | Time Diff: 37.7
Acton: 0 | Reward: -0.050000
Steps Taken: 9 | Time Diff: 42.16
Acton: 0 | Reward: 0.950000
Steps Taken: 10 | Time Diff: 46.61
Acton: 0 | Reward: -0.050000
Steps Taken: 11 | Time Diff: 51.07
Acton: 0 | Reward: 0.950000
Steps Taken: 12 | Time Diff: 55.52
Acton: 0 | Reward: 0.950000
Steps Taken: 13 | Time Diff: 59.98
Acton: 0 | Reward: 0.950000
Steps Taken: 14 | Time Diff: 64.44
Acton: 0 | Reward: -0.050000
Steps Taken: 15 | Time Diff: 68.89
Acton: 0 | Reward: 0.950000
Steps Taken: 16 | Time Diff: 73.35
Acton: 0 | Reward: -0.050000
Steps Taken: 17 | Time Diff: 77.82
Acton: 0 | Reward: -0.050000
Steps Taken: 18 | Time Diff: 82.3
Acton: 0 | Reward: 0.950000
Steps Taken: 19 | Time Diff: 86.76
Acton: 0 | Reward: -0.050000
Steps Taken: 20 | Time Diff: 91.21
Acton: 0 | Reward: 0.950000
Steps Taken: 21 | Time Diff: 95.66
Acton: 0 | Reward: 0.950000
Steps Taken: 22 | Time Diff: 100.11
Acton: 0 | Reward: 0.950000
Steps Taken: 23 | Time Diff: 104.57
Acton: 0 | Reward: -0.050000
Steps Taken: 24 | Time Diff: 109.04
Acton: 0 | Reward: 0.950000
Steps Taken: 25 | Time Diff: 113.5
Acton: 0 | Reward: 0.950000
Steps Taken: 26 | Time Diff: 117.96
Acton: 0 | Reward: 0.950000
Steps Taken: 27 | Time Diff: 122.42
Acton: 0 | Reward: -0.050000
Steps Taken: 28 | Time Diff: 126.89
Acton: 0 | Reward: 0.950000
Steps Taken: 29 | Time Diff: 131.36
Acton: 0 | Reward: 0.950000
Steps Taken: 30 | Time Diff: 135.82
Acton: 0 | Reward: 0.950000
Steps Taken: 31 | Time Diff: 140.28
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 144.74
Acton: 0 | Reward: -0.050000
Steps Taken: 33 | Time Diff: 149.21
Acton: 0 | Reward: 0.950000
Steps Taken: 34 | Time Diff: 153.67
Acton: 0 | Reward: -0.050000
Steps Taken: 35 | Time Diff: 158.13
Acton: 0 | Reward: 0.950000
Steps Taken: 36 | Time Diff: 162.59
Acton: 0 | Reward: -0.050000
Steps Taken: 37 | Time Diff: 167.05
Acton: 0 | Reward: -0.050000
Steps Taken: 38 | Time Diff: 171.51
Acton: 0 | Reward: -0.050000
Steps Taken: 39 | Time Diff: 175.96
Acton: 0 | Reward: 0.950000
Steps Taken: 40 | Time Diff: 180.42
Acton: 0 | Reward: -0.050000
Steps Taken: 41 | Time Diff: 184.88
Acton: 0 | Reward: 0.950000
Steps Taken: 42 | Time Diff: 189.34
Acton: 0 | Reward: -0.050000
Steps Taken: 43 | Time Diff: 193.8
Acton: 0 | Reward: 0.950000
Steps Taken: 44 | Time Diff: 198.26
Acton: 0 | Reward: 0.950000
Steps Taken: 45 | Time Diff: 202.73
Acton: 0 | Reward: 0.950000
Steps Taken: 46 | Time Diff: 207.19
Acton: 0 | Reward: 0.950000
Steps Taken: 47 | Time Diff: 211.65
Acton: 0 | Reward: 0.950000
Steps Taken: 48 | Time Diff: 216.11
Acton: 0 | Reward: -0.050000
