SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 4.44
Acton: 0 | Reward: 0.450000
Steps Taken: 2 | Time Diff: 8.93
Acton: 0 | Reward: 0.450000
Steps Taken: 3 | Time Diff: 13.43
Acton: 0 | Reward: -0.550000
Steps Taken: 4 | Time Diff: 17.93
Acton: 0 | Reward: 0.450000
Steps Taken: 5 | Time Diff: 22.43
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 26.93
Acton: 0 | Reward: 0.450000
Steps Taken: 7 | Time Diff: 31.44
Acton: 0 | Reward: 0.450000
Steps Taken: 8 | Time Diff: 35.94
Acton: 0 | Reward: 0.450000
Steps Taken: 9 | Time Diff: 40.44
Acton: 0 | Reward: 0.450000
Steps Taken: 10 | Time Diff: 44.95
Acton: 0 | Reward: 0.450000
Steps Taken: 11 | Time Diff: 49.46
Acton: 0 | Reward: 0.450000
Steps Taken: 12 | Time Diff: 53.97
Acton: 0 | Reward: -0.550000
Steps Taken: 13 | Time Diff: 58.49
Acton: 0 | Reward: -0.550000
Steps Taken: 14 | Time Diff: 62.99
Acton: 0 | Reward: 0.450000
Steps Taken: 15 | Time Diff: 67.49
Acton: 0 | Reward: -0.550000
Steps Taken: 16 | Time Diff: 72.01
Acton: 0 | Reward: 0.450000
Steps Taken: 17 | Time Diff: 76.53
Acton: 0 | Reward: 0.450000
Steps Taken: 18 | Time Diff: 81.04
Acton: 0 | Reward: 0.450000
Steps Taken: 19 | Time Diff: 85.55
Acton: 0 | Reward: 0.450000
Steps Taken: 20 | Time Diff: 90.06
Acton: 0 | Reward: -0.550000
Steps Taken: 21 | Time Diff: 94.57
Acton: 0 | Reward: -0.550000
Steps Taken: 22 | Time Diff: 99.08
Acton: 0 | Reward: 0.450000
Steps Taken: 23 | Time Diff: 103.6
Acton: 0 | Reward: 0.450000
Steps Taken: 24 | Time Diff: 108.11
Acton: 0 | Reward: -0.550000
Steps Taken: 25 | Time Diff: 112.63
