SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.450000
Steps Taken: 1 | Time Diff: 4.43
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 11.28
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 20.78
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 30.27
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 39.78
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 46.08
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 54.68
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 64.19
Acton: 1 | Reward: 0.000000
Steps Taken: 9 | Time Diff: 73.69
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 83.22
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 92.72
Acton: 1 | Reward: 0.000000
Steps Taken: 12 | Time Diff: 102.22
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 111.72
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 121.23
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 129.68
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 134.38
Acton: 1 | Reward: 0.000000
Steps Taken: 17 | Time Diff: 142.05
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 151.56
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 161.07
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 168.8
Acton: 0 | Reward: -0.450000
Steps Taken: 21 | Time Diff: 175.42
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 181.08
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 190.59
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 200.08
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 209.57
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 219.06
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 228.56
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 237.37
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 242.4
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 251.93
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 261.42
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 270.9
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 280.4
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 289.88
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 299.36
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 308.86
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 318.34
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 327.84
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 337.33
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 346.83
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 356.33
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 365.83
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 375.33
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 384.83
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 394.3
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 403.82
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 413.35
Acton: 1 | Reward: 0.000000
Steps Taken: 48 | Time Diff: 422.85
Acton: 1 | Reward: 0.000000
Steps Taken: 49 | Time Diff: 432.34
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 438.33
Acton: 0 | Reward: -0.450000
Steps Taken: 1 | Time Diff: 447.32
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 456.84
Acton: 0 | Reward: 0.550000
Steps Taken: 3 | Time Diff: 466.36
Acton: 0 | Reward: 0.550000
Steps Taken: 4 | Time Diff: 475.9
Acton: 0 | Reward: 0.550000
Steps Taken: 5 | Time Diff: 485.43
Acton: 0 | Reward: 0.550000
Steps Taken: 6 | Time Diff: 494.96
Acton: 0 | Reward: -0.450000
