SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.050000
Steps Taken: 1 | Time Diff: 4.42
Acton: 0 | Reward: -0.050000
Steps Taken: 2 | Time Diff: 8.85
Acton: 0 | Reward: -0.050000
Steps Taken: 3 | Time Diff: 16.48
Acton: 0 | Reward: 0.950000
Steps Taken: 4 | Time Diff: 25.92
Acton: 0 | Reward: -0.050000
Steps Taken: 5 | Time Diff: 35.37
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 44.82
Acton: 0 | Reward: 0.950000
Steps Taken: 7 | Time Diff: 54.27
Acton: 0 | Reward: 0.950000
Steps Taken: 8 | Time Diff: 58.82
Acton: 0 | Reward: 0.950000
Steps Taken: 9 | Time Diff: 63.26
Acton: 0 | Reward: -0.050000
Steps Taken: 10 | Time Diff: 67.7
Acton: 0 | Reward: 0.950000
Steps Taken: 11 | Time Diff: 72.14
Acton: 0 | Reward: 0.950000
Steps Taken: 12 | Time Diff: 76.57
Acton: 0 | Reward: -0.050000
Steps Taken: 13 | Time Diff: 81.01
Acton: 0 | Reward: -0.050000
Steps Taken: 14 | Time Diff: 85.46
Acton: 0 | Reward: -0.050000
Steps Taken: 15 | Time Diff: 89.89
Acton: 0 | Reward: 0.950000
Steps Taken: 16 | Time Diff: 94.34
Acton: 0 | Reward: -0.050000
Steps Taken: 17 | Time Diff: 98.77
Acton: 0 | Reward: 0.950000
Steps Taken: 18 | Time Diff: 103.22
Acton: 0 | Reward: 0.950000
Steps Taken: 19 | Time Diff: 107.66
Acton: 0 | Reward: -0.050000
Steps Taken: 20 | Time Diff: 112.11
Acton: 0 | Reward: -0.050000
Steps Taken: 21 | Time Diff: 116.55
Acton: 0 | Reward: -0.050000
Steps Taken: 22 | Time Diff: 120.99
Acton: 0 | Reward: -0.050000
Steps Taken: 23 | Time Diff: 125.43
Acton: 0 | Reward: -0.050000
Steps Taken: 24 | Time Diff: 129.87
Acton: 0 | Reward: -0.050000
Steps Taken: 25 | Time Diff: 134.32
Acton: 0 | Reward: -0.050000
Steps Taken: 26 | Time Diff: 138.76
Acton: 0 | Reward: 0.950000
Steps Taken: 27 | Time Diff: 143.19
Acton: 0 | Reward: 0.950000
Steps Taken: 28 | Time Diff: 147.64
Acton: 0 | Reward: 0.950000
Steps Taken: 29 | Time Diff: 152.09
Acton: 0 | Reward: -0.050000
Steps Taken: 30 | Time Diff: 156.54
Acton: 0 | Reward: 0.950000
Steps Taken: 31 | Time Diff: 160.97
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 165.41
Acton: 0 | Reward: 0.950000
Steps Taken: 33 | Time Diff: 169.85
Acton: 0 | Reward: 0.950000
Steps Taken: 34 | Time Diff: 174.29
Acton: 0 | Reward: -0.050000
Steps Taken: 35 | Time Diff: 178.73
Acton: 0 | Reward: 0.950000
Steps Taken: 36 | Time Diff: 183.18
Acton: 0 | Reward: 0.950000
Steps Taken: 37 | Time Diff: 187.61
Acton: 0 | Reward: -0.050000
Steps Taken: 38 | Time Diff: 192.06
Acton: 0 | Reward: 0.950000
Steps Taken: 39 | Time Diff: 196.49
Acton: 0 | Reward: -0.050000
Steps Taken: 40 | Time Diff: 200.94
Acton: 0 | Reward: 0.950000
Steps Taken: 41 | Time Diff: 205.37
Acton: 0 | Reward: 0.950000
Steps Taken: 42 | Time Diff: 209.8
Acton: 0 | Reward: 0.950000
Steps Taken: 43 | Time Diff: 214.25
Acton: 0 | Reward: 0.950000
Steps Taken: 44 | Time Diff: 218.69
Acton: 0 | Reward: 0.950000
Steps Taken: 45 | Time Diff: 223.13
Acton: 0 | Reward: 0.950000
Steps Taken: 46 | Time Diff: 227.58
Acton: 0 | Reward: -0.050000
Steps Taken: 47 | Time Diff: 232.02
Acton: 0 | Reward: 0.950000
Steps Taken: 48 | Time Diff: 236.46
Acton: 0 | Reward: 0.950000
Steps Taken: 49 | Time Diff: 240.89
Acton: 0 | Reward: -0.050000
Steps Taken: 50 | Time Diff: 245.32
Acton: 0 | Reward: 0.950000
Steps Taken: 1 | Time Diff: 249.81
Acton: 0 | Reward: 0.950000
Steps Taken: 2 | Time Diff: 254.27
Acton: 0 | Reward: 0.950000
Steps Taken: 3 | Time Diff: 258.72
Acton: 0 | Reward: -0.050000
Steps Taken: 4 | Time Diff: 263.17
Acton: 0 | Reward: -0.050000
Steps Taken: 5 | Time Diff: 267.63
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 272.08
Acton: 0 | Reward: -0.050000
Steps Taken: 7 | Time Diff: 276.53
Acton: 0 | Reward: 0.950000
Steps Taken: 8 | Time Diff: 280.98
Acton: 0 | Reward: 0.950000
Steps Taken: 9 | Time Diff: 285.42
Acton: 0 | Reward: -0.050000
Steps Taken: 10 | Time Diff: 289.87
Acton: 0 | Reward: 0.950000
Steps Taken: 11 | Time Diff: 294.31
Acton: 0 | Reward: -0.050000
Steps Taken: 12 | Time Diff: 298.76
Acton: 0 | Reward: -0.050000
Steps Taken: 13 | Time Diff: 303.21
Acton: 0 | Reward: -0.050000
Steps Taken: 14 | Time Diff: 307.64
Acton: 0 | Reward: 0.950000
Steps Taken: 15 | Time Diff: 312.08
Acton: 0 | Reward: -0.050000
Steps Taken: 16 | Time Diff: 316.51
Acton: 0 | Reward: -0.050000
Steps Taken: 17 | Time Diff: 320.94
Acton: 0 | Reward: 0.950000
Steps Taken: 18 | Time Diff: 325.37
Acton: 0 | Reward: -0.050000
Steps Taken: 19 | Time Diff: 329.81
Acton: 0 | Reward: 0.950000
Steps Taken: 20 | Time Diff: 334.25
Acton: 0 | Reward: 0.950000
Steps Taken: 21 | Time Diff: 338.69
Acton: 0 | Reward: -0.050000
Steps Taken: 22 | Time Diff: 343.14
Acton: 0 | Reward: 0.950000
Steps Taken: 23 | Time Diff: 347.59
Acton: 0 | Reward: 0.950000
Steps Taken: 24 | Time Diff: 352.03
Acton: 0 | Reward: -0.050000
Steps Taken: 25 | Time Diff: 356.47
Acton: 0 | Reward: 0.950000
Steps Taken: 26 | Time Diff: 360.91
Acton: 0 | Reward: 0.950000
Steps Taken: 27 | Time Diff: 365.36
Acton: 0 | Reward: 0.950000
Steps Taken: 28 | Time Diff: 369.81
Acton: 0 | Reward: -0.050000
Steps Taken: 29 | Time Diff: 374.26
Acton: 0 | Reward: 0.950000
Steps Taken: 30 | Time Diff: 378.71
Acton: 0 | Reward: -0.050000
Steps Taken: 31 | Time Diff: 383.15
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 387.6
Acton: 0 | Reward: -0.050000
Steps Taken: 33 | Time Diff: 392.05
Acton: 0 | Reward: -0.050000
Steps Taken: 34 | Time Diff: 396.49
Acton: 0 | Reward: 0.950000
Steps Taken: 35 | Time Diff: 400.95
Acton: 0 | Reward: 0.950000
Steps Taken: 36 | Time Diff: 405.39
Acton: 0 | Reward: -0.050000
Steps Taken: 37 | Time Diff: 409.85
Acton: 0 | Reward: -0.050000
Steps Taken: 38 | Time Diff: 414.29
Acton: 0 | Reward: 0.950000
Steps Taken: 39 | Time Diff: 418.74
Acton: 0 | Reward: -0.050000
Steps Taken: 40 | Time Diff: 423.19
Acton: 0 | Reward: -0.050000
Steps Taken: 41 | Time Diff: 427.63
Acton: 0 | Reward: -0.050000
Steps Taken: 42 | Time Diff: 432.07
Acton: 0 | Reward: -0.050000
Steps Taken: 43 | Time Diff: 436.53
Acton: 0 | Reward: -0.050000
Steps Taken: 44 | Time Diff: 440.97
Acton: 0 | Reward: -0.050000
Steps Taken: 45 | Time Diff: 445.43
Acton: 0 | Reward: 0.950000
Steps Taken: 46 | Time Diff: 449.88
Acton: 0 | Reward: -0.050000
Steps Taken: 47 | Time Diff: 454.33
Acton: 0 | Reward: 0.950000
Steps Taken: 48 | Time Diff: 458.78
Acton: 0 | Reward: 0.950000
Steps Taken: 49 | Time Diff: 463.23
Acton: 0 | Reward: -0.050000
Steps Taken: 50 | Time Diff: 467.67
Acton: 0 | Reward: 0.950000
Steps Taken: 1 | Time Diff: 472.1
Acton: 0 | Reward: -0.050000
Steps Taken: 2 | Time Diff: 476.53
Acton: 0 | Reward: -0.050000
Steps Taken: 3 | Time Diff: 480.98
Acton: 0 | Reward: 0.950000
Steps Taken: 4 | Time Diff: 485.42
Acton: 0 | Reward: 0.950000
Steps Taken: 5 | Time Diff: 489.87
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 494.31
Acton: 0 | Reward: 0.950000
Steps Taken: 7 | Time Diff: 498.74
Acton: 0 | Reward: 0.950000
Steps Taken: 8 | Time Diff: 503.18
Acton: 0 | Reward: 0.950000
Steps Taken: 9 | Time Diff: 507.62
Acton: 0 | Reward: 0.950000
Steps Taken: 10 | Time Diff: 512.05
Acton: 0 | Reward: 0.950000
Steps Taken: 11 | Time Diff: 516.49
Acton: 0 | Reward: 0.950000
Steps Taken: 12 | Time Diff: 520.93
Acton: 0 | Reward: 0.950000
Steps Taken: 13 | Time Diff: 525.36
Acton: 0 | Reward: -0.050000
Steps Taken: 14 | Time Diff: 529.8
Acton: 0 | Reward: -0.050000
Steps Taken: 15 | Time Diff: 534.24
Acton: 0 | Reward: 0.950000
Steps Taken: 16 | Time Diff: 538.67
Acton: 0 | Reward: 0.950000
Steps Taken: 17 | Time Diff: 543.12
Acton: 0 | Reward: -0.050000
Steps Taken: 18 | Time Diff: 547.55
Acton: 0 | Reward: -0.050000
Steps Taken: 19 | Time Diff: 552.0
Acton: 0 | Reward: 0.950000
Steps Taken: 20 | Time Diff: 556.45
Acton: 0 | Reward: -0.050000
Steps Taken: 21 | Time Diff: 560.9
Acton: 0 | Reward: -0.050000
Steps Taken: 22 | Time Diff: 565.35
Acton: 0 | Reward: -0.050000
Steps Taken: 23 | Time Diff: 569.79
Acton: 0 | Reward: -0.050000
Steps Taken: 24 | Time Diff: 574.23
Acton: 0 | Reward: -0.050000
Steps Taken: 25 | Time Diff: 578.67
Acton: 0 | Reward: 0.950000
Steps Taken: 26 | Time Diff: 583.12
Acton: 0 | Reward: 0.950000
Steps Taken: 27 | Time Diff: 587.55
Acton: 0 | Reward: 0.950000
Steps Taken: 28 | Time Diff: 591.99
Acton: 0 | Reward: 0.950000
Steps Taken: 29 | Time Diff: 596.45
Acton: 0 | Reward: 0.950000
Steps Taken: 30 | Time Diff: 600.89
Acton: 0 | Reward: -0.050000
Steps Taken: 31 | Time Diff: 605.34
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 609.79
Acton: 0 | Reward: -0.050000
Steps Taken: 33 | Time Diff: 614.23
Acton: 0 | Reward: 0.950000
Steps Taken: 34 | Time Diff: 618.66
Acton: 0 | Reward: 0.950000
Steps Taken: 35 | Time Diff: 623.09
Acton: 0 | Reward: -0.050000
Steps Taken: 36 | Time Diff: 627.54
Acton: 0 | Reward: -0.050000
Steps Taken: 37 | Time Diff: 631.99
Acton: 0 | Reward: -0.050000
Steps Taken: 38 | Time Diff: 636.43
Acton: 0 | Reward: 0.950000
Steps Taken: 39 | Time Diff: 640.88
Acton: 0 | Reward: -0.050000
Steps Taken: 40 | Time Diff: 645.31
Acton: 0 | Reward: -0.050000
Steps Taken: 41 | Time Diff: 649.76
Acton: 0 | Reward: -0.050000
Steps Taken: 42 | Time Diff: 654.21
Acton: 0 | Reward: -0.050000
Steps Taken: 43 | Time Diff: 658.66
Acton: 0 | Reward: 0.950000
Steps Taken: 44 | Time Diff: 663.11
Acton: 0 | Reward: 0.950000
Steps Taken: 45 | Time Diff: 667.57
Acton: 0 | Reward: 0.950000
Steps Taken: 46 | Time Diff: 672.03
Acton: 0 | Reward: -0.050000
Steps Taken: 47 | Time Diff: 676.48
Acton: 0 | Reward: -0.050000
Steps Taken: 48 | Time Diff: 680.94
Acton: 0 | Reward: 0.950000
Steps Taken: 49 | Time Diff: 685.4
Acton: 0 | Reward: 0.950000
Steps Taken: 50 | Time Diff: 689.85
Acton: 0 | Reward: -0.050000
Steps Taken: 1 | Time Diff: 694.3
Acton: 0 | Reward: 0.950000
Steps Taken: 2 | Time Diff: 698.75
Acton: 0 | Reward: -0.050000
Steps Taken: 3 | Time Diff: 703.21
Acton: 0 | Reward: 0.950000
Steps Taken: 4 | Time Diff: 707.66
Acton: 0 | Reward: -0.050000
Steps Taken: 5 | Time Diff: 712.12
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 716.58
Acton: 0 | Reward: -0.050000
Steps Taken: 7 | Time Diff: 721.03
Acton: 0 | Reward: -0.050000
Steps Taken: 8 | Time Diff: 725.48
Acton: 0 | Reward: -0.050000
Steps Taken: 9 | Time Diff: 729.94
Acton: 0 | Reward: 0.950000
Steps Taken: 10 | Time Diff: 734.39
Acton: 0 | Reward: -0.050000
Steps Taken: 11 | Time Diff: 738.85
Acton: 0 | Reward: 0.950000
Steps Taken: 12 | Time Diff: 743.31
Acton: 0 | Reward: -0.050000
Steps Taken: 13 | Time Diff: 747.77
Acton: 0 | Reward: -0.050000
Steps Taken: 14 | Time Diff: 752.22
Acton: 0 | Reward: 0.950000
Steps Taken: 15 | Time Diff: 756.67
Acton: 0 | Reward: -0.050000
Steps Taken: 16 | Time Diff: 761.13
Acton: 0 | Reward: 0.950000
Steps Taken: 17 | Time Diff: 765.58
Acton: 0 | Reward: 0.950000
Steps Taken: 18 | Time Diff: 770.04
Acton: 0 | Reward: -0.050000
Steps Taken: 19 | Time Diff: 774.5
Acton: 0 | Reward: 0.950000
Steps Taken: 20 | Time Diff: 778.97
Acton: 0 | Reward: 0.950000
Steps Taken: 21 | Time Diff: 783.42
Acton: 0 | Reward: 0.950000
Steps Taken: 22 | Time Diff: 787.87
Acton: 0 | Reward: -0.050000
Steps Taken: 23 | Time Diff: 792.34
Acton: 0 | Reward: -0.050000
Steps Taken: 24 | Time Diff: 796.8
Acton: 0 | Reward: 0.950000
Steps Taken: 25 | Time Diff: 801.26
Acton: 0 | Reward: 0.950000
Steps Taken: 26 | Time Diff: 805.71
Acton: 0 | Reward: -0.050000
Steps Taken: 27 | Time Diff: 810.19
Acton: 0 | Reward: 0.950000
Steps Taken: 28 | Time Diff: 814.64
Acton: 0 | Reward: 0.950000
Steps Taken: 29 | Time Diff: 819.11
Acton: 0 | Reward: -0.050000
Steps Taken: 30 | Time Diff: 823.56
Acton: 0 | Reward: -0.050000
Steps Taken: 31 | Time Diff: 828.02
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 832.49
Acton: 0 | Reward: 0.950000
Steps Taken: 33 | Time Diff: 836.95
Acton: 0 | Reward: 0.950000
Steps Taken: 34 | Time Diff: 841.41
Acton: 0 | Reward: 0.950000
Steps Taken: 35 | Time Diff: 845.87
Acton: 0 | Reward: -0.050000
Steps Taken: 36 | Time Diff: 850.32
Acton: 0 | Reward: -0.050000
Steps Taken: 37 | Time Diff: 854.78
Acton: 0 | Reward: 0.950000
Steps Taken: 38 | Time Diff: 859.23
Acton: 0 | Reward: -0.050000
Steps Taken: 39 | Time Diff: 863.69
Acton: 0 | Reward: -0.050000
Steps Taken: 40 | Time Diff: 868.13
Acton: 0 | Reward: -0.050000
Steps Taken: 41 | Time Diff: 872.59
Acton: 0 | Reward: -0.050000
Steps Taken: 42 | Time Diff: 877.05
Acton: 0 | Reward: -0.050000
Steps Taken: 43 | Time Diff: 881.5
Acton: 0 | Reward: 0.950000
Steps Taken: 44 | Time Diff: 885.95
Acton: 0 | Reward: -0.050000
Steps Taken: 45 | Time Diff: 890.4
Acton: 0 | Reward: 0.950000
Steps Taken: 46 | Time Diff: 894.86
Acton: 0 | Reward: -0.050000
Steps Taken: 47 | Time Diff: 899.32
Acton: 0 | Reward: 0.950000
Steps Taken: 48 | Time Diff: 903.77
Acton: 0 | Reward: 0.950000
Steps Taken: 49 | Time Diff: 908.24
Acton: 0 | Reward: -0.050000
Steps Taken: 50 | Time Diff: 912.7
Acton: 0 | Reward: -0.050000
Steps Taken: 1 | Time Diff: 917.15
Acton: 0 | Reward: -0.050000
Steps Taken: 2 | Time Diff: 921.6
Acton: 0 | Reward: 0.950000
Steps Taken: 3 | Time Diff: 926.05
Acton: 0 | Reward: -0.050000
Steps Taken: 4 | Time Diff: 930.51
Acton: 0 | Reward: 0.950000
Steps Taken: 5 | Time Diff: 934.97
Acton: 0 | Reward: -0.050000
Steps Taken: 6 | Time Diff: 939.44
Acton: 0 | Reward: 0.950000
Steps Taken: 7 | Time Diff: 943.9
Acton: 0 | Reward: -0.050000
Steps Taken: 8 | Time Diff: 948.37
Acton: 0 | Reward: -0.050000
Steps Taken: 9 | Time Diff: 952.82
Acton: 0 | Reward: 0.950000
Steps Taken: 10 | Time Diff: 957.29
Acton: 0 | Reward: -0.050000
Steps Taken: 11 | Time Diff: 961.78
Acton: 0 | Reward: -0.050000
Steps Taken: 12 | Time Diff: 966.24
Acton: 0 | Reward: 0.950000
Steps Taken: 13 | Time Diff: 970.71
Acton: 0 | Reward: 0.950000
Steps Taken: 14 | Time Diff: 975.16
Acton: 0 | Reward: -0.050000
Steps Taken: 15 | Time Diff: 979.62
Acton: 0 | Reward: 0.950000
Steps Taken: 16 | Time Diff: 984.08
Acton: 0 | Reward: 0.950000
Steps Taken: 17 | Time Diff: 988.53
Acton: 0 | Reward: -0.050000
Steps Taken: 18 | Time Diff: 992.98
Acton: 0 | Reward: -0.050000
Steps Taken: 19 | Time Diff: 997.44
Acton: 0 | Reward: 0.950000
Steps Taken: 20 | Time Diff: 1001.9
Acton: 0 | Reward: -0.050000
Steps Taken: 21 | Time Diff: 1006.37
Acton: 0 | Reward: -0.050000
Steps Taken: 22 | Time Diff: 1010.82
Acton: 0 | Reward: 0.950000
Steps Taken: 23 | Time Diff: 1015.28
Acton: 0 | Reward: 0.950000
Steps Taken: 24 | Time Diff: 1019.73
Acton: 0 | Reward: 0.950000
Steps Taken: 25 | Time Diff: 1024.19
Acton: 0 | Reward: 0.950000
Steps Taken: 26 | Time Diff: 1028.64
Acton: 0 | Reward: 0.950000
Steps Taken: 27 | Time Diff: 1033.1
Acton: 0 | Reward: 0.950000
Steps Taken: 28 | Time Diff: 1037.56
Acton: 0 | Reward: 0.950000
Steps Taken: 29 | Time Diff: 1042.01
Acton: 0 | Reward: -0.050000
Steps Taken: 30 | Time Diff: 1046.47
Acton: 0 | Reward: -0.050000
Steps Taken: 31 | Time Diff: 1050.94
Acton: 0 | Reward: -0.050000
Steps Taken: 32 | Time Diff: 1055.4
Acton: 0 | Reward: 0.950000
Steps Taken: 33 | Time Diff: 1059.86
Acton: 0 | Reward: 0.950000
Steps Taken: 34 | Time Diff: 1064.32
Acton: 0 | Reward: 0.950000
Steps Taken: 35 | Time Diff: 1068.78
Acton: 0 | Reward: 0.950000
Steps Taken: 36 | Time Diff: 1073.23
Acton: 0 | Reward: -0.050000
Steps Taken: 37 | Time Diff: 1077.69
