SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.500000
---------------------------
Steps Taken: 1 | Time Diff: 5.14
Steps Taken: 2 | Time Diff: 10.29
Steps Taken: 3 | Time Diff: 15.43
Steps Taken: 4 | Time Diff: 20.59
Steps Taken: 5 | Time Diff: 25.75
Steps Taken: 6 | Time Diff: 30.9
Steps Taken: 7 | Time Diff: 36.04
Steps Taken: 8 | Time Diff: 41.19
Steps Taken: 9 | Time Diff: 46.33
Steps Taken: 10 | Time Diff: 51.47
Steps Taken: 11 | Time Diff: 56.63
Steps Taken: 12 | Time Diff: 61.77
Steps Taken: 13 | Time Diff: 66.91
Steps Taken: 14 | Time Diff: 72.05
Steps Taken: 15 | Time Diff: 77.19
Steps Taken: 16 | Time Diff: 82.33
Steps Taken: 17 | Time Diff: 87.48
Steps Taken: 18 | Time Diff: 92.62
Steps Taken: 19 | Time Diff: 97.76
Steps Taken: 20 | Time Diff: 102.91
Steps Taken: 21 | Time Diff: 108.05
Steps Taken: 22 | Time Diff: 113.19
Steps Taken: 23 | Time Diff: 118.33
Steps Taken: 24 | Time Diff: 123.48
Steps Taken: 25 | Time Diff: 128.63
Steps Taken: 26 | Time Diff: 133.77
Steps Taken: 27 | Time Diff: 138.93
Steps Taken: 28 | Time Diff: 144.07
Steps Taken: 29 | Time Diff: 149.23
Steps Taken: 30 | Time Diff: 154.38
Steps Taken: 31 | Time Diff: 159.52
Steps Taken: 32 | Time Diff: 164.67
Steps Taken: 33 | Time Diff: 169.81
Steps Taken: 34 | Time Diff: 174.97
Steps Taken: 35 | Time Diff: 180.11
Steps Taken: 36 | Time Diff: 185.25
Steps Taken: 37 | Time Diff: 190.4
Steps Taken: 38 | Time Diff: 195.54
Steps Taken: 39 | Time Diff: 200.68
Steps Taken: 40 | Time Diff: 205.83
Steps Taken: 41 | Time Diff: 210.97
Steps Taken: 42 | Time Diff: 216.11
Steps Taken: 43 | Time Diff: 221.26
Steps Taken: 44 | Time Diff: 226.41
Steps Taken: 45 | Time Diff: 231.55
Steps Taken: 46 | Time Diff: 236.69
Steps Taken: 47 | Time Diff: 241.83
Steps Taken: 48 | Time Diff: 246.99
Steps Taken: 49 | Time Diff: 252.13
Steps Taken: 50 | Time Diff: 257.27
Steps Taken: 1 | Time Diff: 262.4
Steps Taken: 2 | Time Diff: 267.56
Steps Taken: 3 | Time Diff: 272.72
Steps Taken: 4 | Time Diff: 277.87
Steps Taken: 5 | Time Diff: 283.03
Steps Taken: 6 | Time Diff: 288.17
Steps Taken: 7 | Time Diff: 293.31
Steps Taken: 8 | Time Diff: 298.47
Steps Taken: 9 | Time Diff: 303.62
Steps Taken: 10 | Time Diff: 308.76
Steps Taken: 11 | Time Diff: 313.91
Steps Taken: 12 | Time Diff: 319.05
Steps Taken: 13 | Time Diff: 324.2
Steps Taken: 14 | Time Diff: 329.35
Steps Taken: 15 | Time Diff: 334.49
Steps Taken: 16 | Time Diff: 339.64
Steps Taken: 17 | Time Diff: 344.79
Steps Taken: 18 | Time Diff: 349.93
Steps Taken: 19 | Time Diff: 355.07
Steps Taken: 20 | Time Diff: 360.21
Steps Taken: 21 | Time Diff: 365.35
Steps Taken: 22 | Time Diff: 370.5
Steps Taken: 23 | Time Diff: 375.65
Steps Taken: 24 | Time Diff: 380.8
Steps Taken: 25 | Time Diff: 385.94
Steps Taken: 26 | Time Diff: 391.09
Steps Taken: 27 | Time Diff: 396.23
Steps Taken: 28 | Time Diff: 401.38
Steps Taken: 29 | Time Diff: 406.52
Steps Taken: 30 | Time Diff: 411.66
Steps Taken: 31 | Time Diff: 416.81
Steps Taken: 32 | Time Diff: 421.94
Steps Taken: 33 | Time Diff: 427.09
Steps Taken: 34 | Time Diff: 432.23
Steps Taken: 35 | Time Diff: 437.37
Steps Taken: 36 | Time Diff: 442.52
Steps Taken: 37 | Time Diff: 447.67
Steps Taken: 38 | Time Diff: 452.81
Steps Taken: 39 | Time Diff: 457.96
Steps Taken: 40 | Time Diff: 463.11
Steps Taken: 41 | Time Diff: 468.25
Steps Taken: 42 | Time Diff: 473.38
Steps Taken: 43 | Time Diff: 478.53
Steps Taken: 44 | Time Diff: 483.68
Steps Taken: 45 | Time Diff: 488.83
Steps Taken: 46 | Time Diff: 493.97
Steps Taken: 47 | Time Diff: 499.12
Steps Taken: 48 | Time Diff: 504.27
Steps Taken: 49 | Time Diff: 509.41
Steps Taken: 50 | Time Diff: 514.56
Steps Taken: 1 | Time Diff: 519.71
Steps Taken: 2 | Time Diff: 524.87
Steps Taken: 3 | Time Diff: 530.03
Steps Taken: 4 | Time Diff: 535.18
Steps Taken: 5 | Time Diff: 540.34
Steps Taken: 6 | Time Diff: 545.5
Steps Taken: 7 | Time Diff: 550.65
Steps Taken: 8 | Time Diff: 555.8
Steps Taken: 9 | Time Diff: 560.96
Steps Taken: 10 | Time Diff: 566.11
Steps Taken: 11 | Time Diff: 571.27
Steps Taken: 12 | Time Diff: 576.42
Steps Taken: 13 | Time Diff: 581.57
Steps Taken: 14 | Time Diff: 586.73
Steps Taken: 15 | Time Diff: 591.88
Steps Taken: 16 | Time Diff: 597.03
Steps Taken: 17 | Time Diff: 602.18
Steps Taken: 18 | Time Diff: 607.34
Steps Taken: 19 | Time Diff: 612.5
Steps Taken: 20 | Time Diff: 617.65
Steps Taken: 21 | Time Diff: 622.8
Steps Taken: 22 | Time Diff: 627.95
Steps Taken: 23 | Time Diff: 633.12
Steps Taken: 24 | Time Diff: 638.27
Steps Taken: 25 | Time Diff: 643.42
Steps Taken: 26 | Time Diff: 648.57
Steps Taken: 27 | Time Diff: 653.73
Steps Taken: 28 | Time Diff: 658.87
Steps Taken: 29 | Time Diff: 664.03
Steps Taken: 30 | Time Diff: 669.18
Steps Taken: 31 | Time Diff: 674.33
Steps Taken: 32 | Time Diff: 679.49
Steps Taken: 33 | Time Diff: 684.63
Steps Taken: 34 | Time Diff: 689.79
Steps Taken: 35 | Time Diff: 694.94
Steps Taken: 36 | Time Diff: 700.1
Steps Taken: 37 | Time Diff: 705.25
Steps Taken: 38 | Time Diff: 710.4
Steps Taken: 39 | Time Diff: 715.55
Steps Taken: 40 | Time Diff: 720.71
Steps Taken: 41 | Time Diff: 725.87
Steps Taken: 42 | Time Diff: 731.01
Steps Taken: 43 | Time Diff: 736.17
Steps Taken: 44 | Time Diff: 741.32
Steps Taken: 45 | Time Diff: 746.47
Steps Taken: 46 | Time Diff: 751.63
Steps Taken: 47 | Time Diff: 756.79
Steps Taken: 48 | Time Diff: 761.96
Steps Taken: 49 | Time Diff: 767.11
Steps Taken: 50 | Time Diff: 772.27
Steps Taken: 1 | Time Diff: 777.4
Steps Taken: 2 | Time Diff: 782.55
Steps Taken: 3 | Time Diff: 787.71
Steps Taken: 4 | Time Diff: 792.87
Steps Taken: 5 | Time Diff: 798.02
Steps Taken: 6 | Time Diff: 803.17
Steps Taken: 7 | Time Diff: 808.33
Steps Taken: 8 | Time Diff: 813.5
Steps Taken: 9 | Time Diff: 818.65
Steps Taken: 10 | Time Diff: 823.81
Steps Taken: 11 | Time Diff: 828.96
Steps Taken: 12 | Time Diff: 834.12
Steps Taken: 13 | Time Diff: 839.27
Steps Taken: 14 | Time Diff: 844.42
Steps Taken: 15 | Time Diff: 849.58
Steps Taken: 16 | Time Diff: 854.73
Steps Taken: 17 | Time Diff: 859.88
Steps Taken: 18 | Time Diff: 865.03
Steps Taken: 19 | Time Diff: 870.18
Steps Taken: 20 | Time Diff: 875.33
Steps Taken: 21 | Time Diff: 880.48
Steps Taken: 22 | Time Diff: 885.64
Steps Taken: 23 | Time Diff: 890.79
Steps Taken: 24 | Time Diff: 895.94
Steps Taken: 25 | Time Diff: 901.09
Steps Taken: 26 | Time Diff: 906.24
Steps Taken: 27 | Time Diff: 911.39
Steps Taken: 28 | Time Diff: 916.53
Steps Taken: 29 | Time Diff: 921.68
Steps Taken: 30 | Time Diff: 926.83
Steps Taken: 31 | Time Diff: 931.97
Steps Taken: 32 | Time Diff: 937.12
Steps Taken: 33 | Time Diff: 942.27
Steps Taken: 34 | Time Diff: 947.44
Steps Taken: 35 | Time Diff: 952.6
Steps Taken: 36 | Time Diff: 957.75
Steps Taken: 37 | Time Diff: 962.9
Steps Taken: 38 | Time Diff: 968.06
Steps Taken: 39 | Time Diff: 973.21
Steps Taken: 40 | Time Diff: 978.36
Steps Taken: 41 | Time Diff: 983.51
Steps Taken: 42 | Time Diff: 988.66
Steps Taken: 43 | Time Diff: 993.81
Steps Taken: 44 | Time Diff: 998.96
Steps Taken: 45 | Time Diff: 1004.11
Steps Taken: 46 | Time Diff: 1009.27
Steps Taken: 47 | Time Diff: 1014.43
Steps Taken: 48 | Time Diff: 1019.59
Steps Taken: 49 | Time Diff: 1024.73
Steps Taken: 50 | Time Diff: 1029.89
Steps Taken: 1 | Time Diff: 1035.03
Steps Taken: 2 | Time Diff: 1040.19
Steps Taken: 3 | Time Diff: 1045.35
Steps Taken: 4 | Time Diff: 1050.53
Steps Taken: 5 | Time Diff: 1055.69
Steps Taken: 6 | Time Diff: 1060.86
Steps Taken: 7 | Time Diff: 1066.04
Steps Taken: 8 | Time Diff: 1071.21
Steps Taken: 9 | Time Diff: 1076.37
Steps Taken: 10 | Time Diff: 1081.54
Steps Taken: 11 | Time Diff: 1086.7
Steps Taken: 12 | Time Diff: 1091.85
Steps Taken: 13 | Time Diff: 1097.02
Steps Taken: 14 | Time Diff: 1102.19
Steps Taken: 15 | Time Diff: 1107.35
Steps Taken: 16 | Time Diff: 1112.51
Steps Taken: 17 | Time Diff: 1117.67
Steps Taken: 18 | Time Diff: 1122.83
Steps Taken: 19 | Time Diff: 1127.98
Steps Taken: 20 | Time Diff: 1133.14
Steps Taken: 21 | Time Diff: 1138.3
Steps Taken: 22 | Time Diff: 1143.46
Steps Taken: 23 | Time Diff: 1148.62
Steps Taken: 24 | Time Diff: 1153.78
Steps Taken: 25 | Time Diff: 1158.94
Steps Taken: 26 | Time Diff: 1164.1
