SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.100000
---------------------------
Steps Taken: 1 | Time Diff: 5.13
Steps Taken: 2 | Time Diff: 10.27
Steps Taken: 3 | Time Diff: 15.41
Steps Taken: 4 | Time Diff: 20.57
Steps Taken: 5 | Time Diff: 25.72
Steps Taken: 6 | Time Diff: 30.87
Steps Taken: 7 | Time Diff: 36.02
Steps Taken: 8 | Time Diff: 41.19
Steps Taken: 9 | Time Diff: 46.37
Steps Taken: 10 | Time Diff: 51.53
Steps Taken: 11 | Time Diff: 56.7
Steps Taken: 12 | Time Diff: 61.87
Steps Taken: 13 | Time Diff: 67.03
Steps Taken: 14 | Time Diff: 72.19
Steps Taken: 15 | Time Diff: 77.35
Steps Taken: 16 | Time Diff: 82.51
Steps Taken: 17 | Time Diff: 87.67
Steps Taken: 18 | Time Diff: 92.82
Steps Taken: 19 | Time Diff: 97.98
Steps Taken: 20 | Time Diff: 103.14
Steps Taken: 21 | Time Diff: 108.29
Steps Taken: 22 | Time Diff: 113.44
Steps Taken: 23 | Time Diff: 118.59
Steps Taken: 24 | Time Diff: 123.74
Steps Taken: 25 | Time Diff: 128.91
Steps Taken: 26 | Time Diff: 134.05
Steps Taken: 27 | Time Diff: 139.21
Steps Taken: 28 | Time Diff: 144.36
Steps Taken: 29 | Time Diff: 149.52
Steps Taken: 30 | Time Diff: 154.67
Steps Taken: 31 | Time Diff: 159.84
Steps Taken: 32 | Time Diff: 165.0
Steps Taken: 33 | Time Diff: 170.17
Steps Taken: 34 | Time Diff: 175.33
Steps Taken: 35 | Time Diff: 180.5
Steps Taken: 36 | Time Diff: 185.65
Steps Taken: 37 | Time Diff: 190.8
Steps Taken: 38 | Time Diff: 195.96
Steps Taken: 39 | Time Diff: 201.11
Steps Taken: 40 | Time Diff: 206.27
Steps Taken: 41 | Time Diff: 211.43
Steps Taken: 42 | Time Diff: 216.58
Steps Taken: 43 | Time Diff: 221.74
Steps Taken: 44 | Time Diff: 226.9
Steps Taken: 45 | Time Diff: 232.06
Steps Taken: 46 | Time Diff: 237.22
Steps Taken: 47 | Time Diff: 242.37
Steps Taken: 48 | Time Diff: 247.55
Steps Taken: 49 | Time Diff: 252.7
Steps Taken: 50 | Time Diff: 257.87
