SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 5.2
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 10.42
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 15.63
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 20.83
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 26.05
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 31.27
Acton: 1 | Reward: 0.000000
Steps Taken: 7 | Time Diff: 36.49
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 41.7
Acton: 0 | Reward: 0.350000
Steps Taken: 9 | Time Diff: 46.91
Acton: 1 | Reward: 0.000000
Steps Taken: 10 | Time Diff: 52.13
Acton: 0 | Reward: 0.350000
Steps Taken: 11 | Time Diff: 57.35
Acton: 0 | Reward: -0.650000
Steps Taken: 12 | Time Diff: 62.58
Acton: 1 | Reward: 0.000000
Steps Taken: 13 | Time Diff: 67.8
Acton: 1 | Reward: 0.000000
Steps Taken: 14 | Time Diff: 73.02
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 78.23
Acton: 1 | Reward: 0.000000
Steps Taken: 16 | Time Diff: 83.45
Acton: 0 | Reward: -0.650000
Steps Taken: 17 | Time Diff: 88.68
Acton: 1 | Reward: 0.000000
Steps Taken: 18 | Time Diff: 93.9
Acton: 1 | Reward: 0.000000
Steps Taken: 19 | Time Diff: 99.11
Acton: 1 | Reward: 0.000000
Steps Taken: 20 | Time Diff: 104.34
Acton: 1 | Reward: 0.000000
Steps Taken: 21 | Time Diff: 109.56
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 114.78
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 120.0
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 125.22
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 130.43
Acton: 1 | Reward: 0.000000
Steps Taken: 26 | Time Diff: 135.65
Acton: 1 | Reward: 0.000000
Steps Taken: 27 | Time Diff: 140.87
Acton: 1 | Reward: 0.000000
Steps Taken: 28 | Time Diff: 146.08
Acton: 1 | Reward: 0.000000
Steps Taken: 29 | Time Diff: 151.3
Acton: 1 | Reward: 0.000000
Steps Taken: 30 | Time Diff: 156.51
Acton: 1 | Reward: 0.000000
Steps Taken: 31 | Time Diff: 161.71
Acton: 1 | Reward: 0.000000
Steps Taken: 32 | Time Diff: 166.92
Acton: 1 | Reward: 0.000000
Steps Taken: 33 | Time Diff: 172.13
Acton: 1 | Reward: 0.000000
Steps Taken: 34 | Time Diff: 177.33
Acton: 1 | Reward: 0.000000
Steps Taken: 35 | Time Diff: 182.54
Acton: 1 | Reward: 0.000000
Steps Taken: 36 | Time Diff: 187.74
Acton: 1 | Reward: 0.000000
Steps Taken: 37 | Time Diff: 192.95
Acton: 1 | Reward: 0.000000
Steps Taken: 38 | Time Diff: 198.15
Acton: 1 | Reward: 0.000000
Steps Taken: 39 | Time Diff: 203.36
Acton: 1 | Reward: 0.000000
Steps Taken: 40 | Time Diff: 208.57
Acton: 1 | Reward: 0.000000
Steps Taken: 41 | Time Diff: 213.78
Acton: 1 | Reward: 0.000000
Steps Taken: 42 | Time Diff: 218.98
Acton: 1 | Reward: 0.000000
Steps Taken: 43 | Time Diff: 224.19
Acton: 1 | Reward: 0.000000
Steps Taken: 44 | Time Diff: 229.4
Acton: 1 | Reward: 0.000000
Steps Taken: 45 | Time Diff: 234.61
Acton: 1 | Reward: 0.000000
Steps Taken: 46 | Time Diff: 239.81
Acton: 1 | Reward: 0.000000
Steps Taken: 47 | Time Diff: 245.01
Acton: 0 | Reward: -0.650000
Steps Taken: 48 | Time Diff: 250.21
Acton: 0 | Reward: 0.350000
Steps Taken: 49 | Time Diff: 255.41
Acton: 1 | Reward: 0.000000
Steps Taken: 50 | Time Diff: 260.62
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 265.85
Acton: 1 | Reward: 0.000000
