SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.250000
Steps Taken: 1 | Time Diff: 4.46
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 8.93
Acton: 0 | Reward: -0.250000
Steps Taken: 3 | Time Diff: 13.38
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 17.83
Acton: 0 | Reward: 0.750000
Steps Taken: 5 | Time Diff: 22.85
Acton: 0 | Reward: -0.250000
Steps Taken: 6 | Time Diff: 27.3
Acton: 0 | Reward: -0.250000
Steps Taken: 7 | Time Diff: 31.77
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 36.24
Acton: 0 | Reward: 0.750000
Steps Taken: 9 | Time Diff: 40.71
Acton: 0 | Reward: -0.250000
Steps Taken: 10 | Time Diff: 45.19
Acton: 0 | Reward: 0.750000
Steps Taken: 11 | Time Diff: 49.65
Acton: 0 | Reward: 0.750000
Steps Taken: 12 | Time Diff: 54.14
Acton: 0 | Reward: 0.750000
Steps Taken: 13 | Time Diff: 60.56
Acton: 0 | Reward: 0.750000
Steps Taken: 14 | Time Diff: 65.05
Acton: 0 | Reward: 0.750000
Steps Taken: 15 | Time Diff: 69.55
Acton: 0 | Reward: -0.250000
Steps Taken: 16 | Time Diff: 74.03
Acton: 0 | Reward: -0.250000
Steps Taken: 17 | Time Diff: 78.5
Acton: 0 | Reward: 0.750000
Steps Taken: 18 | Time Diff: 82.97
Acton: 0 | Reward: 0.750000
Steps Taken: 19 | Time Diff: 87.45
Acton: 0 | Reward: -0.250000
Steps Taken: 20 | Time Diff: 91.94
Acton: 0 | Reward: -0.250000
Steps Taken: 21 | Time Diff: 96.45
Acton: 0 | Reward: -0.250000
Steps Taken: 22 | Time Diff: 100.93
Acton: 0 | Reward: -0.250000
Steps Taken: 23 | Time Diff: 105.41
Acton: 0 | Reward: -0.250000
Steps Taken: 24 | Time Diff: 109.88
Acton: 0 | Reward: -0.250000
Steps Taken: 25 | Time Diff: 114.36
Acton: 0 | Reward: 0.750000
Steps Taken: 26 | Time Diff: 118.85
Acton: 0 | Reward: 0.750000
Steps Taken: 27 | Time Diff: 123.34
Acton: 0 | Reward: -0.250000
Steps Taken: 28 | Time Diff: 127.82
Acton: 0 | Reward: -0.250000
Steps Taken: 29 | Time Diff: 132.31
Acton: 0 | Reward: -0.250000
Steps Taken: 30 | Time Diff: 136.8
Acton: 0 | Reward: 0.750000
Steps Taken: 31 | Time Diff: 141.3
Acton: 0 | Reward: -0.250000
Steps Taken: 32 | Time Diff: 145.79
Acton: 0 | Reward: -0.250000
Steps Taken: 33 | Time Diff: 150.28
Acton: 0 | Reward: 0.750000
Steps Taken: 34 | Time Diff: 154.77
Acton: 0 | Reward: 0.750000
Steps Taken: 35 | Time Diff: 159.27
Acton: 0 | Reward: 0.750000
Steps Taken: 36 | Time Diff: 163.76
Acton: 0 | Reward: 0.750000
Steps Taken: 37 | Time Diff: 168.26
Acton: 0 | Reward: 0.750000
Steps Taken: 38 | Time Diff: 172.75
Acton: 0 | Reward: -0.250000
Steps Taken: 39 | Time Diff: 177.25
