SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.250000
---------------------------
Steps Taken: 1 | Time Diff: 5.55
Steps Taken: 2 | Time Diff: 11.1
Steps Taken: 3 | Time Diff: 16.65
Steps Taken: 4 | Time Diff: 22.22
Steps Taken: 5 | Time Diff: 27.78
Steps Taken: 6 | Time Diff: 33.34
Steps Taken: 7 | Time Diff: 38.89
Steps Taken: 8 | Time Diff: 44.46
Steps Taken: 9 | Time Diff: 50.01
Steps Taken: 10 | Time Diff: 55.58
Steps Taken: 11 | Time Diff: 61.14
Steps Taken: 12 | Time Diff: 66.7
Steps Taken: 13 | Time Diff: 72.27
Steps Taken: 14 | Time Diff: 77.83
Steps Taken: 15 | Time Diff: 83.39
Steps Taken: 16 | Time Diff: 88.95
Steps Taken: 17 | Time Diff: 94.53
Steps Taken: 18 | Time Diff: 100.09
Steps Taken: 19 | Time Diff: 105.66
Steps Taken: 20 | Time Diff: 111.23
Steps Taken: 21 | Time Diff: 116.8
Steps Taken: 22 | Time Diff: 122.37
Steps Taken: 23 | Time Diff: 127.93
Steps Taken: 24 | Time Diff: 133.48
Steps Taken: 25 | Time Diff: 139.03
Steps Taken: 26 | Time Diff: 144.61
Steps Taken: 27 | Time Diff: 150.17
Steps Taken: 28 | Time Diff: 155.73
Steps Taken: 29 | Time Diff: 161.33
Steps Taken: 30 | Time Diff: 166.88
Steps Taken: 31 | Time Diff: 172.45
Steps Taken: 32 | Time Diff: 178.01
Steps Taken: 33 | Time Diff: 183.57
Steps Taken: 34 | Time Diff: 189.14
Steps Taken: 35 | Time Diff: 194.72
Steps Taken: 36 | Time Diff: 200.28
Steps Taken: 37 | Time Diff: 205.84
Steps Taken: 38 | Time Diff: 211.4
Steps Taken: 39 | Time Diff: 216.97
Steps Taken: 40 | Time Diff: 222.55
Steps Taken: 41 | Time Diff: 228.14
Steps Taken: 42 | Time Diff: 233.65
Steps Taken: 43 | Time Diff: 238.85
Steps Taken: 44 | Time Diff: 244.05
Steps Taken: 45 | Time Diff: 249.26
Steps Taken: 46 | Time Diff: 254.93
Steps Taken: 47 | Time Diff: 265.7
Steps Taken: 48 | Time Diff: 276.46
Steps Taken: 49 | Time Diff: 287.23
Steps Taken: 50 | Time Diff: 293.8
Steps Taken: 1 | Time Diff: 299.35
Steps Taken: 2 | Time Diff: 304.93
Steps Taken: 3 | Time Diff: 310.49
Steps Taken: 4 | Time Diff: 316.06
Steps Taken: 5 | Time Diff: 321.63
Steps Taken: 6 | Time Diff: 327.19
Steps Taken: 7 | Time Diff: 332.75
Steps Taken: 8 | Time Diff: 338.31
Steps Taken: 9 | Time Diff: 343.87
Steps Taken: 10 | Time Diff: 349.43
Steps Taken: 11 | Time Diff: 354.99
Steps Taken: 12 | Time Diff: 360.57
Steps Taken: 13 | Time Diff: 366.14
Steps Taken: 14 | Time Diff: 371.7
Steps Taken: 15 | Time Diff: 377.27
Steps Taken: 16 | Time Diff: 382.83
Steps Taken: 17 | Time Diff: 388.39
Steps Taken: 18 | Time Diff: 393.96
Steps Taken: 19 | Time Diff: 399.53
Steps Taken: 20 | Time Diff: 405.1
Steps Taken: 21 | Time Diff: 410.69
Steps Taken: 22 | Time Diff: 416.24
Steps Taken: 23 | Time Diff: 421.81
Steps Taken: 24 | Time Diff: 427.37
Steps Taken: 25 | Time Diff: 432.93
Steps Taken: 26 | Time Diff: 438.49
Steps Taken: 27 | Time Diff: 444.05
Steps Taken: 28 | Time Diff: 449.62
Steps Taken: 29 | Time Diff: 455.18
Steps Taken: 30 | Time Diff: 460.74
Steps Taken: 31 | Time Diff: 466.32
Steps Taken: 32 | Time Diff: 471.88
Steps Taken: 33 | Time Diff: 477.45
Steps Taken: 34 | Time Diff: 483.0
Steps Taken: 35 | Time Diff: 488.56
Steps Taken: 36 | Time Diff: 494.13
Steps Taken: 37 | Time Diff: 499.69
Steps Taken: 38 | Time Diff: 505.26
Steps Taken: 39 | Time Diff: 510.81
Steps Taken: 40 | Time Diff: 516.37
Steps Taken: 41 | Time Diff: 521.93
Steps Taken: 42 | Time Diff: 527.5
Steps Taken: 43 | Time Diff: 533.07
