SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.200000
Steps Taken: 1 | Time Diff: 4.47
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 8.94
Acton: 0 | Reward: 0.800000
Steps Taken: 3 | Time Diff: 13.41
Acton: 0 | Reward: 0.800000
Steps Taken: 4 | Time Diff: 17.89
Acton: 0 | Reward: 0.800000
Steps Taken: 5 | Time Diff: 22.37
Acton: 0 | Reward: -0.200000
Steps Taken: 6 | Time Diff: 26.83
Acton: 0 | Reward: -0.200000
Steps Taken: 7 | Time Diff: 31.31
Acton: 0 | Reward: 0.800000
Steps Taken: 8 | Time Diff: 35.78
Acton: 0 | Reward: -0.200000
Steps Taken: 9 | Time Diff: 40.26
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 44.74
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 49.22
Acton: 0 | Reward: 0.800000
Steps Taken: 12 | Time Diff: 53.7
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 58.18
Acton: 0 | Reward: -0.200000
Steps Taken: 14 | Time Diff: 62.65
Acton: 0 | Reward: 0.800000
Steps Taken: 15 | Time Diff: 67.13
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 71.6
Acton: 0 | Reward: 0.800000
Steps Taken: 17 | Time Diff: 76.08
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 80.55
Acton: 0 | Reward: 0.800000
Steps Taken: 19 | Time Diff: 85.02
Acton: 0 | Reward: -0.200000
Steps Taken: 20 | Time Diff: 89.5
Acton: 0 | Reward: 0.800000
Steps Taken: 21 | Time Diff: 93.99
Acton: 0 | Reward: -0.200000
Steps Taken: 22 | Time Diff: 98.47
Acton: 0 | Reward: 0.800000
Steps Taken: 23 | Time Diff: 102.94
Acton: 0 | Reward: -0.200000
Steps Taken: 24 | Time Diff: 107.42
Acton: 0 | Reward: -0.200000
Steps Taken: 25 | Time Diff: 111.89
Acton: 0 | Reward: -0.200000
Steps Taken: 26 | Time Diff: 116.39
Acton: 0 | Reward: 0.800000
Steps Taken: 27 | Time Diff: 120.87
Acton: 0 | Reward: 0.800000
Steps Taken: 28 | Time Diff: 125.35
Acton: 0 | Reward: -0.200000
Steps Taken: 29 | Time Diff: 129.83
Acton: 0 | Reward: -0.200000
Steps Taken: 30 | Time Diff: 137.17
Acton: 0 | Reward: 0.800000
Steps Taken: 31 | Time Diff: 146.71
Acton: 0 | Reward: 0.800000
Steps Taken: 32 | Time Diff: 156.22
Acton: 0 | Reward: -0.200000
Steps Taken: 33 | Time Diff: 165.63
Acton: 0 | Reward: 0.800000
Steps Taken: 34 | Time Diff: 175.02
Acton: 0 | Reward: 0.800000
Steps Taken: 35 | Time Diff: 184.3
Acton: 0 | Reward: -0.200000
Steps Taken: 36 | Time Diff: 193.57
Acton: 0 | Reward: 0.800000
Steps Taken: 37 | Time Diff: 202.84
Acton: 0 | Reward: 0.800000
Steps Taken: 38 | Time Diff: 212.11
Acton: 0 | Reward: -0.200000
Steps Taken: 39 | Time Diff: 221.15
Acton: 0 | Reward: 0.800000
Steps Taken: 40 | Time Diff: 227.89
Acton: 0 | Reward: -0.200000
Steps Taken: 41 | Time Diff: 237.03
Acton: 0 | Reward: 0.800000
Steps Taken: 42 | Time Diff: 246.25
Acton: 0 | Reward: -0.200000
Steps Taken: 43 | Time Diff: 255.46
Acton: 0 | Reward: 0.800000
Steps Taken: 44 | Time Diff: 263.34
Acton: 0 | Reward: -0.200000
Steps Taken: 45 | Time Diff: 267.82
Acton: 0 | Reward: 0.800000
Steps Taken: 46 | Time Diff: 272.3
Acton: 0 | Reward: -0.200000
Steps Taken: 47 | Time Diff: 276.78
Acton: 0 | Reward: -0.200000
Steps Taken: 48 | Time Diff: 281.27
Acton: 0 | Reward: 0.800000
Steps Taken: 49 | Time Diff: 287.51
Acton: 0 | Reward: -0.200000
Steps Taken: 50 | Time Diff: 292.47
Acton: 0 | Reward: -0.200000
Steps Taken: 1 | Time Diff: 296.95
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 301.42
Acton: 0 | Reward: -0.200000
Steps Taken: 3 | Time Diff: 305.91
Acton: 0 | Reward: 0.800000
Steps Taken: 4 | Time Diff: 310.39
Acton: 0 | Reward: -0.200000
Steps Taken: 5 | Time Diff: 314.88
Acton: 0 | Reward: 0.800000
Steps Taken: 6 | Time Diff: 319.37
Acton: 0 | Reward: -0.200000
Steps Taken: 7 | Time Diff: 323.87
Acton: 0 | Reward: 0.800000
Steps Taken: 8 | Time Diff: 328.35
Acton: 0 | Reward: 0.800000
Steps Taken: 9 | Time Diff: 332.83
Acton: 0 | Reward: -0.200000
Steps Taken: 10 | Time Diff: 337.32
Acton: 0 | Reward: 0.800000
Steps Taken: 11 | Time Diff: 341.81
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 346.29
Acton: 0 | Reward: 0.800000
Steps Taken: 13 | Time Diff: 350.78
Acton: 0 | Reward: -0.200000
Steps Taken: 14 | Time Diff: 355.27
Acton: 0 | Reward: 0.800000
Steps Taken: 15 | Time Diff: 359.75
Acton: 0 | Reward: -0.200000
Steps Taken: 16 | Time Diff: 364.24
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 368.73
Acton: 0 | Reward: -0.200000
Steps Taken: 18 | Time Diff: 373.21
Acton: 0 | Reward: 0.800000
Steps Taken: 19 | Time Diff: 377.69
Acton: 0 | Reward: -0.200000
Steps Taken: 20 | Time Diff: 382.18
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 386.68
Acton: 0 | Reward: 0.800000
Steps Taken: 22 | Time Diff: 391.16
Acton: 0 | Reward: 0.800000
Steps Taken: 23 | Time Diff: 395.64
Acton: 0 | Reward: -0.200000
Steps Taken: 24 | Time Diff: 400.13
Acton: 0 | Reward: -0.200000
Steps Taken: 25 | Time Diff: 404.61
Acton: 0 | Reward: -0.200000
Steps Taken: 26 | Time Diff: 409.09
Acton: 0 | Reward: 0.800000
Steps Taken: 27 | Time Diff: 413.57
Acton: 0 | Reward: -0.200000
Steps Taken: 28 | Time Diff: 418.06
Acton: 0 | Reward: 0.800000
Steps Taken: 29 | Time Diff: 422.54
Acton: 0 | Reward: -0.200000
Steps Taken: 30 | Time Diff: 427.03
Acton: 0 | Reward: -0.200000
Steps Taken: 31 | Time Diff: 431.51
Acton: 0 | Reward: 0.800000
Steps Taken: 32 | Time Diff: 435.99
Acton: 0 | Reward: -0.200000
Steps Taken: 33 | Time Diff: 443.78
Acton: 0 | Reward: 0.800000
Steps Taken: 34 | Time Diff: 453.0
Acton: 0 | Reward: 0.800000
Steps Taken: 35 | Time Diff: 462.24
Acton: 0 | Reward: 0.800000
Steps Taken: 36 | Time Diff: 471.47
Acton: 0 | Reward: 0.800000
Steps Taken: 37 | Time Diff: 480.7
Acton: 0 | Reward: 0.800000
Steps Taken: 38 | Time Diff: 489.94
Acton: 0 | Reward: 0.800000
Steps Taken: 39 | Time Diff: 499.16
Acton: 0 | Reward: -0.200000
Steps Taken: 40 | Time Diff: 508.4
Acton: 0 | Reward: 0.800000
Steps Taken: 41 | Time Diff: 517.62
Acton: 0 | Reward: 0.800000
Steps Taken: 42 | Time Diff: 526.86
Acton: 0 | Reward: 0.800000
Steps Taken: 43 | Time Diff: 536.08
Acton: 0 | Reward: -0.200000
Steps Taken: 44 | Time Diff: 545.31
Acton: 0 | Reward: 0.800000
Steps Taken: 45 | Time Diff: 554.56
Acton: 0 | Reward: 0.800000
Steps Taken: 46 | Time Diff: 560.46
Acton: 0 | Reward: 0.800000
Steps Taken: 47 | Time Diff: 564.93
Acton: 0 | Reward: -0.200000
Steps Taken: 48 | Time Diff: 569.41
Acton: 0 | Reward: -0.200000
Steps Taken: 49 | Time Diff: 573.91
Acton: 0 | Reward: 0.800000
Steps Taken: 50 | Time Diff: 578.39
Acton: 0 | Reward: -0.200000
Steps Taken: 1 | Time Diff: 582.87
Acton: 0 | Reward: -0.200000
Steps Taken: 2 | Time Diff: 587.35
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 591.83
Acton: 0 | Reward: -0.200000
Steps Taken: 4 | Time Diff: 596.31
Acton: 0 | Reward: 0.800000
Steps Taken: 5 | Time Diff: 600.79
Acton: 0 | Reward: -0.200000
Steps Taken: 6 | Time Diff: 605.28
Acton: 0 | Reward: -0.200000
Steps Taken: 7 | Time Diff: 609.75
Acton: 1 | Reward: 0.000000
Steps Taken: 8 | Time Diff: 614.23
Acton: 0 | Reward: 0.800000
Steps Taken: 9 | Time Diff: 618.71
Acton: 0 | Reward: -0.200000
Steps Taken: 10 | Time Diff: 623.19
Acton: 1 | Reward: 0.000000
Steps Taken: 11 | Time Diff: 627.68
Acton: 0 | Reward: -0.200000
Steps Taken: 12 | Time Diff: 632.18
Acton: 0 | Reward: 0.800000
Steps Taken: 13 | Time Diff: 636.66
Acton: 0 | Reward: -0.200000
Steps Taken: 14 | Time Diff: 641.15
Acton: 1 | Reward: 0.000000
Steps Taken: 15 | Time Diff: 650.12
Acton: 0 | Reward: -0.200000
Steps Taken: 16 | Time Diff: 659.39
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 668.63
Acton: 0 | Reward: -0.200000
Steps Taken: 18 | Time Diff: 677.88
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 687.13
Acton: 0 | Reward: -0.200000
Steps Taken: 20 | Time Diff: 696.36
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 705.59
Acton: 1 | Reward: 0.000000
Steps Taken: 22 | Time Diff: 714.82
Acton: 1 | Reward: 0.000000
Steps Taken: 23 | Time Diff: 724.07
Acton: 1 | Reward: 0.000000
Steps Taken: 24 | Time Diff: 733.15
Acton: 1 | Reward: 0.000000
Steps Taken: 25 | Time Diff: 738.02
Acton: 0 | Reward: 0.800000
Steps Taken: 26 | Time Diff: 747.42
Acton: 0 | Reward: -0.200000
Steps Taken: 27 | Time Diff: 756.8
Acton: 0 | Reward: 0.800000
Steps Taken: 28 | Time Diff: 766.17
Acton: 0 | Reward: 0.800000
Steps Taken: 29 | Time Diff: 775.55
Acton: 0 | Reward: -0.200000
Steps Taken: 30 | Time Diff: 784.92
Acton: 0 | Reward: -0.200000
Steps Taken: 31 | Time Diff: 794.31
Acton: 0 | Reward: -0.200000
