SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.100000
Steps Taken: 1 | Time Diff: 4.43
Acton: 0 | Reward: -0.100000
Steps Taken: 2 | Time Diff: 10.21
Acton: 0 | Reward: -0.100000
Steps Taken: 3 | Time Diff: 16.69
Acton: 0 | Reward: -0.100000
Steps Taken: 4 | Time Diff: 21.12
Acton: 0 | Reward: -0.100000
Steps Taken: 5 | Time Diff: 25.53
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 29.96
Acton: 0 | Reward: -0.100000
Steps Taken: 7 | Time Diff: 34.37
Acton: 0 | Reward: 0.900000
Steps Taken: 8 | Time Diff: 38.79
Acton: 0 | Reward: 0.900000
Steps Taken: 9 | Time Diff: 43.23
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 47.66
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 52.11
Acton: 0 | Reward: 0.900000
Steps Taken: 12 | Time Diff: 56.54
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 60.97
Acton: 0 | Reward: -0.100000
Steps Taken: 14 | Time Diff: 65.4
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 69.85
Acton: 0 | Reward: 0.900000
Steps Taken: 16 | Time Diff: 74.27
Acton: 0 | Reward: 0.900000
Steps Taken: 17 | Time Diff: 78.71
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 83.15
Acton: 0 | Reward: -0.100000
Steps Taken: 19 | Time Diff: 87.59
Acton: 0 | Reward: -0.100000
Steps Taken: 20 | Time Diff: 92.02
Acton: 0 | Reward: -0.100000
Steps Taken: 21 | Time Diff: 96.45
Acton: 0 | Reward: 0.900000
Steps Taken: 22 | Time Diff: 100.88
Acton: 0 | Reward: 0.900000
Steps Taken: 23 | Time Diff: 105.31
Acton: 0 | Reward: -0.100000
Steps Taken: 24 | Time Diff: 109.74
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 114.18
Acton: 0 | Reward: 0.900000
Steps Taken: 26 | Time Diff: 118.61
Acton: 0 | Reward: 0.900000
Steps Taken: 27 | Time Diff: 123.04
Acton: 0 | Reward: -0.100000
Steps Taken: 28 | Time Diff: 127.46
Acton: 0 | Reward: 0.900000
Steps Taken: 29 | Time Diff: 131.9
Acton: 0 | Reward: -0.100000
Steps Taken: 30 | Time Diff: 136.33
Acton: 0 | Reward: -0.100000
Steps Taken: 31 | Time Diff: 140.77
Acton: 0 | Reward: 0.900000
Steps Taken: 32 | Time Diff: 145.2
Acton: 0 | Reward: 0.900000
Steps Taken: 33 | Time Diff: 149.63
Acton: 0 | Reward: 0.900000
Steps Taken: 34 | Time Diff: 154.06
Acton: 0 | Reward: 0.900000
Steps Taken: 35 | Time Diff: 158.5
Acton: 0 | Reward: 0.900000
Steps Taken: 36 | Time Diff: 162.93
Acton: 0 | Reward: 0.900000
Steps Taken: 37 | Time Diff: 167.38
Acton: 0 | Reward: 0.900000
Steps Taken: 38 | Time Diff: 171.81
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 176.24
Acton: 0 | Reward: 0.900000
Steps Taken: 40 | Time Diff: 180.67
Acton: 0 | Reward: 0.900000
Steps Taken: 41 | Time Diff: 185.1
Acton: 0 | Reward: -0.100000
Steps Taken: 42 | Time Diff: 189.55
Acton: 0 | Reward: 0.900000
Steps Taken: 43 | Time Diff: 193.97
Acton: 0 | Reward: 0.900000
Steps Taken: 44 | Time Diff: 198.41
Acton: 0 | Reward: -0.100000
Steps Taken: 45 | Time Diff: 202.85
Acton: 0 | Reward: 0.900000
Steps Taken: 46 | Time Diff: 207.29
Acton: 0 | Reward: -0.100000
Steps Taken: 47 | Time Diff: 211.72
Acton: 0 | Reward: -0.100000
Steps Taken: 48 | Time Diff: 216.16
Acton: 0 | Reward: 0.900000
Steps Taken: 49 | Time Diff: 220.6
Acton: 0 | Reward: -0.100000
Steps Taken: 50 | Time Diff: 225.04
Acton: 0 | Reward: 0.900000
Steps Taken: 1 | Time Diff: 229.47
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 233.92
Acton: 0 | Reward: 0.900000
Steps Taken: 3 | Time Diff: 238.37
Acton: 0 | Reward: -0.100000
Steps Taken: 4 | Time Diff: 242.81
Acton: 0 | Reward: -0.100000
Steps Taken: 5 | Time Diff: 247.26
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 251.71
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 256.14
Acton: 0 | Reward: 0.900000
Steps Taken: 8 | Time Diff: 260.58
Acton: 0 | Reward: 0.900000
Steps Taken: 9 | Time Diff: 265.01
Acton: 0 | Reward: 0.900000
Steps Taken: 10 | Time Diff: 269.44
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 273.87
Acton: 0 | Reward: 0.900000
Steps Taken: 12 | Time Diff: 278.3
Acton: 0 | Reward: -0.100000
Steps Taken: 13 | Time Diff: 282.72
Acton: 0 | Reward: -0.100000
Steps Taken: 14 | Time Diff: 287.16
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 291.6
Acton: 0 | Reward: -0.100000
Steps Taken: 16 | Time Diff: 296.03
Acton: 0 | Reward: 0.900000
Steps Taken: 17 | Time Diff: 300.47
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 304.91
Acton: 0 | Reward: -0.100000
Steps Taken: 19 | Time Diff: 309.35
Acton: 0 | Reward: -0.100000
Steps Taken: 20 | Time Diff: 313.79
Acton: 0 | Reward: -0.100000
Steps Taken: 21 | Time Diff: 318.22
Acton: 0 | Reward: -0.100000
Steps Taken: 22 | Time Diff: 322.66
Acton: 0 | Reward: -0.100000
Steps Taken: 23 | Time Diff: 327.09
Acton: 0 | Reward: 0.900000
Steps Taken: 24 | Time Diff: 331.53
Acton: 0 | Reward: 0.900000
Steps Taken: 25 | Time Diff: 335.97
Acton: 0 | Reward: -0.100000
Steps Taken: 26 | Time Diff: 340.42
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 344.85
Acton: 0 | Reward: 0.900000
Steps Taken: 28 | Time Diff: 349.29
Acton: 0 | Reward: -0.100000
Steps Taken: 29 | Time Diff: 353.72
Acton: 0 | Reward: 0.900000
Steps Taken: 30 | Time Diff: 358.16
Acton: 0 | Reward: -0.100000
Steps Taken: 31 | Time Diff: 362.58
Acton: 0 | Reward: 0.900000
Steps Taken: 32 | Time Diff: 367.01
Acton: 0 | Reward: 0.900000
Steps Taken: 33 | Time Diff: 371.45
Acton: 0 | Reward: 0.900000
Steps Taken: 34 | Time Diff: 375.87
Acton: 0 | Reward: 0.900000
Steps Taken: 35 | Time Diff: 380.31
Acton: 0 | Reward: 0.900000
Steps Taken: 36 | Time Diff: 384.73
Acton: 0 | Reward: 0.900000
Steps Taken: 37 | Time Diff: 389.17
Acton: 0 | Reward: -0.100000
Steps Taken: 38 | Time Diff: 393.59
Acton: 0 | Reward: 0.900000
Steps Taken: 39 | Time Diff: 398.02
Acton: 0 | Reward: -0.100000
Steps Taken: 40 | Time Diff: 402.45
Acton: 0 | Reward: -0.100000
Steps Taken: 41 | Time Diff: 406.87
Acton: 0 | Reward: -0.100000
Steps Taken: 42 | Time Diff: 411.31
Acton: 0 | Reward: 0.900000
Steps Taken: 43 | Time Diff: 415.75
Acton: 0 | Reward: -0.100000
Steps Taken: 44 | Time Diff: 420.18
Acton: 0 | Reward: -0.100000
Steps Taken: 45 | Time Diff: 424.61
Acton: 0 | Reward: -0.100000
Steps Taken: 46 | Time Diff: 429.05
Acton: 0 | Reward: -0.100000
Steps Taken: 47 | Time Diff: 433.47
Acton: 0 | Reward: 0.900000
Steps Taken: 48 | Time Diff: 437.91
Acton: 0 | Reward: -0.100000
Steps Taken: 49 | Time Diff: 442.35
Acton: 0 | Reward: -0.100000
Steps Taken: 50 | Time Diff: 446.79
Acton: 0 | Reward: -0.100000
Steps Taken: 1 | Time Diff: 451.22
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 455.65
Acton: 0 | Reward: 0.900000
Steps Taken: 3 | Time Diff: 460.09
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 464.53
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 468.96
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 473.41
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 477.84
Acton: 0 | Reward: 0.900000
Steps Taken: 8 | Time Diff: 482.28
Acton: 0 | Reward: -0.100000
Steps Taken: 9 | Time Diff: 486.72
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 491.17
Acton: 0 | Reward: -0.100000
Steps Taken: 11 | Time Diff: 495.61
Acton: 0 | Reward: 0.900000
Steps Taken: 12 | Time Diff: 500.05
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 504.5
Acton: 0 | Reward: 0.900000
Steps Taken: 14 | Time Diff: 508.94
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 513.4
Acton: 0 | Reward: 0.900000
Steps Taken: 16 | Time Diff: 517.84
Acton: 0 | Reward: -0.100000
Steps Taken: 17 | Time Diff: 522.29
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 526.73
Acton: 0 | Reward: -0.100000
Steps Taken: 19 | Time Diff: 531.17
Acton: 0 | Reward: 0.900000
Steps Taken: 20 | Time Diff: 535.62
Acton: 0 | Reward: -0.100000
Steps Taken: 21 | Time Diff: 540.06
Acton: 0 | Reward: -0.100000
Steps Taken: 22 | Time Diff: 544.5
Acton: 0 | Reward: 0.900000
Steps Taken: 23 | Time Diff: 548.95
Acton: 0 | Reward: -0.100000
Steps Taken: 24 | Time Diff: 553.41
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 557.87
Acton: 0 | Reward: -0.100000
Steps Taken: 26 | Time Diff: 562.32
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 566.75
Acton: 0 | Reward: -0.100000
Steps Taken: 28 | Time Diff: 571.19
Acton: 0 | Reward: 0.900000
Steps Taken: 29 | Time Diff: 575.65
Acton: 0 | Reward: 0.900000
Steps Taken: 30 | Time Diff: 580.09
Acton: 0 | Reward: 0.900000
Steps Taken: 31 | Time Diff: 584.53
Acton: 0 | Reward: 0.900000
