SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.000000
---------------------------
Steps Taken: 1 | Time Diff: 5.494152
Steps Taken: 2 | Time Diff: 10.395028
Steps Taken: 3 | Time Diff: 15.426571
Steps Taken: 4 | Time Diff: 20.430337
Steps Taken: 5 | Time Diff: 25.436987
Steps Taken: 6 | Time Diff: 30.415337
Steps Taken: 7 | Time Diff: 35.60025
Steps Taken: 8 | Time Diff: 40.588295
Steps Taken: 9 | Time Diff: 45.282979
Steps Taken: 10 | Time Diff: 49.90909
Steps Taken: 11 | Time Diff: 54.600205
Steps Taken: 12 | Time Diff: 59.473781
Steps Taken: 13 | Time Diff: 64.350297
Steps Taken: 14 | Time Diff: 68.949943
Steps Taken: 15 | Time Diff: 73.624097
Steps Taken: 16 | Time Diff: 78.242052
Steps Taken: 17 | Time Diff: 82.912943
Steps Taken: 18 | Time Diff: 87.500928
Steps Taken: 19 | Time Diff: 92.223167
Steps Taken: 20 | Time Diff: 96.90517
Steps Taken: 21 | Time Diff: 101.618929
Steps Taken: 22 | Time Diff: 106.277646
Steps Taken: 23 | Time Diff: 110.975831
Steps Taken: 24 | Time Diff: 115.627748
Steps Taken: 25 | Time Diff: 120.565083
Steps Taken: 26 | Time Diff: 125.182356
Steps Taken: 27 | Time Diff: 129.850941
Steps Taken: 28 | Time Diff: 134.499577
Steps Taken: 29 | Time Diff: 139.145217
Steps Taken: 30 | Time Diff: 143.75415
Steps Taken: 31 | Time Diff: 148.468692
Steps Taken: 32 | Time Diff: 154.18945
Steps Taken: 33 | Time Diff: 158.864583
Steps Taken: 34 | Time Diff: 163.539516
Steps Taken: 35 | Time Diff: 168.182827
Steps Taken: 36 | Time Diff: 172.834352
Steps Taken: 37 | Time Diff: 177.451565
Steps Taken: 38 | Time Diff: 182.399933
Steps Taken: 39 | Time Diff: 187.020494
Steps Taken: 40 | Time Diff: 191.719814
Steps Taken: 41 | Time Diff: 196.31772
Steps Taken: 42 | Time Diff: 201.033422
Steps Taken: 43 | Time Diff: 205.635905
Steps Taken: 44 | Time Diff: 210.303239
Steps Taken: 45 | Time Diff: 214.923366
Steps Taken: 46 | Time Diff: 219.554498
Steps Taken: 47 | Time Diff: 224.187224
Steps Taken: 48 | Time Diff: 228.838761
Steps Taken: 49 | Time Diff: 233.473574
Steps Taken: 50 | Time Diff: 238.158235
Steps Taken: 1 | Time Diff: 243.106374
Steps Taken: 2 | Time Diff: 247.787285
Steps Taken: 3 | Time Diff: 252.441928
Steps Taken: 4 | Time Diff: 257.107081
Steps Taken: 5 | Time Diff: 261.764722
Steps Taken: 6 | Time Diff: 266.412737
Steps Taken: 7 | Time Diff: 271.053759
Steps Taken: 8 | Time Diff: 275.705886
Steps Taken: 9 | Time Diff: 280.341738
Steps Taken: 10 | Time Diff: 285.00171
Steps Taken: 11 | Time Diff: 289.648672
Steps Taken: 12 | Time Diff: 294.256073
Steps Taken: 13 | Time Diff: 298.976907
Steps Taken: 14 | Time Diff: 303.852129
Steps Taken: 15 | Time Diff: 308.518753
Steps Taken: 16 | Time Diff: 313.145368
Steps Taken: 17 | Time Diff: 317.857326
Steps Taken: 18 | Time Diff: 322.498063
Steps Taken: 19 | Time Diff: 327.169994
Steps Taken: 20 | Time Diff: 331.785031
Steps Taken: 21 | Time Diff: 336.449581
Steps Taken: 22 | Time Diff: 341.063691
Steps Taken: 23 | Time Diff: 345.725425
Steps Taken: 24 | Time Diff: 350.33026
Steps Taken: 25 | Time Diff: 355.005316
Steps Taken: 26 | Time Diff: 359.645208
Steps Taken: 27 | Time Diff: 364.347783
Steps Taken: 28 | Time Diff: 369.004296
Steps Taken: 29 | Time Diff: 373.637619
Steps Taken: 30 | Time Diff: 378.307112
Steps Taken: 31 | Time Diff: 382.934444
Steps Taken: 32 | Time Diff: 387.835209
Steps Taken: 33 | Time Diff: 393.373476
Steps Taken: 34 | Time Diff: 397.986606
Steps Taken: 35 | Time Diff: 402.610887
Steps Taken: 36 | Time Diff: 407.26248
Steps Taken: 37 | Time Diff: 411.86577
Steps Taken: 38 | Time Diff: 416.544682
Steps Taken: 39 | Time Diff: 421.195476
Steps Taken: 40 | Time Diff: 425.886261
Steps Taken: 41 | Time Diff: 430.512379
Steps Taken: 42 | Time Diff: 435.172526
Steps Taken: 43 | Time Diff: 439.772988
Steps Taken: 44 | Time Diff: 444.465601
Steps Taken: 45 | Time Diff: 449.08961
Steps Taken: 46 | Time Diff: 453.751585
Steps Taken: 47 | Time Diff: 458.325989
Steps Taken: 48 | Time Diff: 462.959245
Steps Taken: 49 | Time Diff: 467.599843
Steps Taken: 50 | Time Diff: 472.277789
Steps Taken: 1 | Time Diff: 476.931202
Steps Taken: 2 | Time Diff: 481.647201
Steps Taken: 3 | Time Diff: 486.378835
Steps Taken: 4 | Time Diff: 491.071109
Steps Taken: 5 | Time Diff: 496.295787
Steps Taken: 6 | Time Diff: 500.947913
Steps Taken: 7 | Time Diff: 505.594621
Steps Taken: 8 | Time Diff: 510.217646
Steps Taken: 9 | Time Diff: 514.902298
Steps Taken: 10 | Time Diff: 519.751684
Steps Taken: 11 | Time Diff: 524.416745
Steps Taken: 12 | Time Diff: 529.075284
Steps Taken: 13 | Time Diff: 533.750196
Steps Taken: 14 | Time Diff: 538.360623
Steps Taken: 15 | Time Diff: 543.431426
Steps Taken: 16 | Time Diff: 548.271081
Steps Taken: 17 | Time Diff: 553.128288
Steps Taken: 18 | Time Diff: 557.745192
Steps Taken: 19 | Time Diff: 562.426336
Steps Taken: 20 | Time Diff: 567.035509
Steps Taken: 21 | Time Diff: 571.732842
Steps Taken: 22 | Time Diff: 576.362483
Steps Taken: 23 | Time Diff: 581.067642
Steps Taken: 24 | Time Diff: 585.703838
Steps Taken: 25 | Time Diff: 590.424034
Steps Taken: 26 | Time Diff: 595.05405
Steps Taken: 27 | Time Diff: 599.807893
Steps Taken: 28 | Time Diff: 604.779977
Steps Taken: 29 | Time Diff: 609.468687
Steps Taken: 30 | Time Diff: 614.10748
Steps Taken: 31 | Time Diff: 618.77654
Steps Taken: 32 | Time Diff: 623.67882
Steps Taken: 33 | Time Diff: 629.316039
Steps Taken: 34 | Time Diff: 633.932202
Steps Taken: 35 | Time Diff: 638.689176
Steps Taken: 36 | Time Diff: 643.33702
Steps Taken: 37 | Time Diff: 648.471197
Steps Taken: 38 | Time Diff: 653.836929
Steps Taken: 39 | Time Diff: 659.212194
Steps Taken: 40 | Time Diff: 664.503218
Steps Taken: 41 | Time Diff: 669.514421
Steps Taken: 42 | Time Diff: 674.665015
Steps Taken: 43 | Time Diff: 680.077996
Steps Taken: 44 | Time Diff: 684.753416
Steps Taken: 45 | Time Diff: 689.487991
Steps Taken: 46 | Time Diff: 694.187458
Steps Taken: 47 | Time Diff: 698.939237
Steps Taken: 48 | Time Diff: 703.582471
Steps Taken: 49 | Time Diff: 708.312495
Steps Taken: 50 | Time Diff: 712.998534
Steps Taken: 1 | Time Diff: 717.759942
Steps Taken: 2 | Time Diff: 722.470086
Steps Taken: 3 | Time Diff: 727.250532
Steps Taken: 4 | Time Diff: 731.972229
Steps Taken: 5 | Time Diff: 736.673547
Steps Taken: 6 | Time Diff: 741.340388
Steps Taken: 7 | Time Diff: 746.122644
Steps Taken: 8 | Time Diff: 750.830959
Steps Taken: 9 | Time Diff: 755.664671
Steps Taken: 10 | Time Diff: 760.481851
Steps Taken: 11 | Time Diff: 765.311864
Steps Taken: 12 | Time Diff: 770.090287
Steps Taken: 13 | Time Diff: 774.90278
Steps Taken: 14 | Time Diff: 779.66918
Steps Taken: 15 | Time Diff: 784.652019
Steps Taken: 16 | Time Diff: 789.738654
Steps Taken: 17 | Time Diff: 794.503999
Steps Taken: 18 | Time Diff: 799.182348
Steps Taken: 19 | Time Diff: 804.1536
Steps Taken: 20 | Time Diff: 809.419031
Steps Taken: 21 | Time Diff: 814.26877
Steps Taken: 22 | Time Diff: 819.431235
Steps Taken: 23 | Time Diff: 824.62976
Steps Taken: 24 | Time Diff: 829.521227
Steps Taken: 25 | Time Diff: 834.366611
Steps Taken: 26 | Time Diff: 839.334078
Steps Taken: 27 | Time Diff: 844.265919
Steps Taken: 28 | Time Diff: 849.039995
Steps Taken: 29 | Time Diff: 853.894319
Steps Taken: 30 | Time Diff: 859.394626
Steps Taken: 31 | Time Diff: 864.798963
Steps Taken: 32 | Time Diff: 869.619856
Steps Taken: 33 | Time Diff: 874.445669
Steps Taken: 34 | Time Diff: 879.294499
Steps Taken: 35 | Time Diff: 884.179986
Steps Taken: 36 | Time Diff: 888.97299
Steps Taken: 37 | Time Diff: 893.780388
Steps Taken: 38 | Time Diff: 898.541752
Steps Taken: 39 | Time Diff: 904.069724
Steps Taken: 40 | Time Diff: 909.266995
Steps Taken: 41 | Time Diff: 914.771069
Steps Taken: 42 | Time Diff: 920.411665
Steps Taken: 43 | Time Diff: 925.796598
Steps Taken: 44 | Time Diff: 931.020382
Steps Taken: 45 | Time Diff: 936.365874
Steps Taken: 46 | Time Diff: 941.630632
Steps Taken: 47 | Time Diff: 946.643639
Steps Taken: 48 | Time Diff: 951.489856
Steps Taken: 49 | Time Diff: 956.363712
Steps Taken: 50 | Time Diff: 961.389153
Steps Taken: 1 | Time Diff: 966.52344
Steps Taken: 2 | Time Diff: 971.504412
Steps Taken: 3 | Time Diff: 976.471891
Steps Taken: 4 | Time Diff: 981.425148
Steps Taken: 5 | Time Diff: 986.243325
Steps Taken: 6 | Time Diff: 991.018189
Steps Taken: 7 | Time Diff: 995.830805
Steps Taken: 8 | Time Diff: 1000.614949
Steps Taken: 9 | Time Diff: 1006.39709
Steps Taken: 10 | Time Diff: 1012.845261
Steps Taken: 11 | Time Diff: 1018.93685
Steps Taken: 12 | Time Diff: 1025.236303
Steps Taken: 13 | Time Diff: 1031.699611
Steps Taken: 14 | Time Diff: 1037.741215
Steps Taken: 15 | Time Diff: 1043.532425
Steps Taken: 16 | Time Diff: 1049.387889
Steps Taken: 17 | Time Diff: 1055.432408
Steps Taken: 18 | Time Diff: 1061.086196
Steps Taken: 19 | Time Diff: 1067.288079
Steps Taken: 20 | Time Diff: 1073.305483
Steps Taken: 21 | Time Diff: 1079.105707
Steps Taken: 22 | Time Diff: 1085.231341
Steps Taken: 23 | Time Diff: 1092.49082
Steps Taken: 24 | Time Diff: 1098.321538
Steps Taken: 25 | Time Diff: 1104.2578
Steps Taken: 26 | Time Diff: 1110.410062
Steps Taken: 27 | Time Diff: 1116.772194
Steps Taken: 28 | Time Diff: 1122.935811
Steps Taken: 29 | Time Diff: 1129.251032
Steps Taken: 30 | Time Diff: 1135.595495
Steps Taken: 31 | Time Diff: 1141.902865
Steps Taken: 32 | Time Diff: 1147.942862
Steps Taken: 33 | Time Diff: 1153.757825
Steps Taken: 34 | Time Diff: 1159.584088
Steps Taken: 35 | Time Diff: 1166.401823
Steps Taken: 36 | Time Diff: 1172.475016
Steps Taken: 37 | Time Diff: 1178.732613
Steps Taken: 38 | Time Diff: 1185.100841
Steps Taken: 39 | Time Diff: 1191.84095
Steps Taken: 40 | Time Diff: 1198.733988
Steps Taken: 41 | Time Diff: 1205.037027
Steps Taken: 42 | Time Diff: 1211.941953
Steps Taken: 43 | Time Diff: 1218.210275
Steps Taken: 44 | Time Diff: 1223.74067
Steps Taken: 45 | Time Diff: 1229.210363
Steps Taken: 46 | Time Diff: 1234.688123
Steps Taken: 47 | Time Diff: 1240.317041
Steps Taken: 48 | Time Diff: 1246.730723
Steps Taken: 49 | Time Diff: 1253.806381
Steps Taken: 50 | Time Diff: 1260.702772
RESULTS ------------->
Trials: [[ 250.    0.]]
(cost,beta): (0.0, 0)
(reward,accuracy): (24.8, 1.0)
Steps Taken: 1 | Time Diff: 1267.08333
Steps Taken: 2 | Time Diff: 1272.899538
Steps Taken: 3 | Time Diff: 1278.680241
Steps Taken: 4 | Time Diff: 1284.287697
Steps Taken: 5 | Time Diff: 1290.102558
Steps Taken: 6 | Time Diff: 1296.593639
Steps Taken: 7 | Time Diff: 1302.956948
Steps Taken: 8 | Time Diff: 1309.91288
Steps Taken: 9 | Time Diff: 1316.425463
Steps Taken: 10 | Time Diff: 1323.618839
Steps Taken: 11 | Time Diff: 1329.480698
Steps Taken: 12 | Time Diff: 1335.906562
Steps Taken: 13 | Time Diff: 1341.753666
Steps Taken: 14 | Time Diff: 1347.640948
Steps Taken: 15 | Time Diff: 1355.992449
Steps Taken: 16 | Time Diff: 1361.931613
Steps Taken: 17 | Time Diff: 1367.737443
Steps Taken: 18 | Time Diff: 1375.494204
Steps Taken: 19 | Time Diff: 1381.324536
Steps Taken: 20 | Time Diff: 1388.69676
Steps Taken: 21 | Time Diff: 1395.488199
Steps Taken: 22 | Time Diff: 1402.135992
Steps Taken: 23 | Time Diff: 1409.681222
Steps Taken: 24 | Time Diff: 1417.83075
Steps Taken: 25 | Time Diff: 1424.503074
Steps Taken: 26 | Time Diff: 1431.79983
Steps Taken: 27 | Time Diff: 1439.026672
Steps Taken: 28 | Time Diff: 1446.168735
Steps Taken: 29 | Time Diff: 1453.456825
Steps Taken: 30 | Time Diff: 1460.555962
Steps Taken: 31 | Time Diff: 1468.618339
Steps Taken: 32 | Time Diff: 1476.309255
Steps Taken: 33 | Time Diff: 1482.558703
Steps Taken: 34 | Time Diff: 1489.672529
Steps Taken: 35 | Time Diff: 1496.362995
Steps Taken: 36 | Time Diff: 1503.209124
Steps Taken: 37 | Time Diff: 1510.131041
Steps Taken: 38 | Time Diff: 1516.652865
Steps Taken: 39 | Time Diff: 1522.690659
Steps Taken: 40 | Time Diff: 1530.027712
Steps Taken: 41 | Time Diff: 1537.169025
Steps Taken: 42 | Time Diff: 1544.50697
Steps Taken: 43 | Time Diff: 1552.022726
Steps Taken: 44 | Time Diff: 1559.416404
Steps Taken: 45 | Time Diff: 1564.905824
Steps Taken: 46 | Time Diff: 1570.558431
Steps Taken: 47 | Time Diff: 1576.019792
Steps Taken: 48 | Time Diff: 1581.857265
Steps Taken: 49 | Time Diff: 1587.417001
Steps Taken: 50 | Time Diff: 1593.611249
Steps Taken: 1 | Time Diff: 1600.025658
Steps Taken: 2 | Time Diff: 1606.423227
Steps Taken: 3 | Time Diff: 1612.283373
Steps Taken: 4 | Time Diff: 1618.342912
Steps Taken: 5 | Time Diff: 1624.449288
Steps Taken: 6 | Time Diff: 1630.529958
Steps Taken: 7 | Time Diff: 1636.75396
Steps Taken: 8 | Time Diff: 1642.673128
Steps Taken: 9 | Time Diff: 1648.514645
Steps Taken: 10 | Time Diff: 1654.693727
Steps Taken: 11 | Time Diff: 1662.176526
Steps Taken: 12 | Time Diff: 1668.746535
Steps Taken: 13 | Time Diff: 1675.326473
Steps Taken: 14 | Time Diff: 1681.369296
Steps Taken: 15 | Time Diff: 1687.478303
Steps Taken: 16 | Time Diff: 1693.763549
Steps Taken: 17 | Time Diff: 1699.80737
Steps Taken: 18 | Time Diff: 1707.251901
Steps Taken: 19 | Time Diff: 1713.283238
Steps Taken: 20 | Time Diff: 1718.604203
Steps Taken: 21 | Time Diff: 1724.419671
