SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.100000
Steps Taken: 1 | Time Diff: 4.59
Acton: 0 | Reward: -0.100000
Steps Taken: 2 | Time Diff: 9.21
Acton: 0 | Reward: 0.900000
Steps Taken: 3 | Time Diff: 13.84
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 18.47
Acton: 0 | Reward: 0.900000
Steps Taken: 5 | Time Diff: 23.09
Acton: 0 | Reward: 0.900000
Steps Taken: 6 | Time Diff: 27.72
Acton: 0 | Reward: -0.100000
Steps Taken: 7 | Time Diff: 32.33
Acton: 0 | Reward: 0.900000
Steps Taken: 8 | Time Diff: 36.96
Acton: 0 | Reward: 0.900000
Steps Taken: 9 | Time Diff: 41.61
Acton: 0 | Reward: 0.900000
Steps Taken: 10 | Time Diff: 46.23
Acton: 0 | Reward: -0.100000
Steps Taken: 11 | Time Diff: 50.86
Acton: 0 | Reward: -0.100000
Steps Taken: 12 | Time Diff: 55.5
Acton: 0 | Reward: -0.100000
Steps Taken: 13 | Time Diff: 60.13
Acton: 0 | Reward: -0.100000
Steps Taken: 14 | Time Diff: 64.76
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 69.41
Acton: 0 | Reward: 0.900000
Steps Taken: 16 | Time Diff: 74.02
Acton: 0 | Reward: 0.900000
Steps Taken: 17 | Time Diff: 78.61
Acton: 0 | Reward: -0.100000
Steps Taken: 18 | Time Diff: 83.21
Acton: 0 | Reward: -0.100000
Steps Taken: 19 | Time Diff: 87.82
Acton: 0 | Reward: 0.900000
Steps Taken: 20 | Time Diff: 92.45
Acton: 0 | Reward: 0.900000
Steps Taken: 21 | Time Diff: 97.06
Acton: 0 | Reward: -0.100000
Steps Taken: 22 | Time Diff: 101.68
Acton: 0 | Reward: -0.100000
Steps Taken: 23 | Time Diff: 106.28
Acton: 0 | Reward: -0.100000
Steps Taken: 24 | Time Diff: 110.89
Acton: 0 | Reward: -0.100000
Steps Taken: 25 | Time Diff: 115.51
Acton: 0 | Reward: -0.100000
Steps Taken: 26 | Time Diff: 120.12
Acton: 0 | Reward: -0.100000
Steps Taken: 27 | Time Diff: 124.74
Acton: 0 | Reward: -0.100000
Steps Taken: 28 | Time Diff: 129.37
Acton: 0 | Reward: 0.900000
Steps Taken: 29 | Time Diff: 134.0
Acton: 0 | Reward: -0.100000
Steps Taken: 30 | Time Diff: 138.61
Acton: 0 | Reward: -0.100000
Steps Taken: 31 | Time Diff: 143.21
Acton: 0 | Reward: -0.100000
Steps Taken: 32 | Time Diff: 147.84
Acton: 0 | Reward: -0.100000
Steps Taken: 33 | Time Diff: 152.47
Acton: 0 | Reward: -0.100000
Steps Taken: 34 | Time Diff: 157.08
Acton: 0 | Reward: 0.900000
Steps Taken: 35 | Time Diff: 161.68
Acton: 0 | Reward: -0.100000
Steps Taken: 36 | Time Diff: 166.29
Acton: 0 | Reward: 0.900000
Steps Taken: 37 | Time Diff: 170.92
Acton: 0 | Reward: -0.100000
Steps Taken: 38 | Time Diff: 175.54
Acton: 0 | Reward: -0.100000
Steps Taken: 39 | Time Diff: 180.14
Acton: 0 | Reward: 0.900000
Steps Taken: 40 | Time Diff: 184.73
Acton: 0 | Reward: 0.900000
Steps Taken: 41 | Time Diff: 189.35
Acton: 0 | Reward: -0.100000
Steps Taken: 42 | Time Diff: 193.98
Acton: 0 | Reward: 0.900000
Steps Taken: 43 | Time Diff: 198.6
Acton: 0 | Reward: -0.100000
Steps Taken: 44 | Time Diff: 203.22
Acton: 0 | Reward: 0.900000
Steps Taken: 45 | Time Diff: 207.83
Acton: 0 | Reward: -0.100000
Steps Taken: 46 | Time Diff: 212.47
Acton: 0 | Reward: -0.100000
Steps Taken: 47 | Time Diff: 217.11
Acton: 0 | Reward: -0.100000
Steps Taken: 48 | Time Diff: 221.73
Acton: 0 | Reward: -0.100000
Steps Taken: 49 | Time Diff: 226.35
Acton: 0 | Reward: 0.900000
Steps Taken: 50 | Time Diff: 230.94
Acton: 0 | Reward: 0.900000
Steps Taken: 1 | Time Diff: 235.56
Acton: 0 | Reward: 0.900000
Steps Taken: 2 | Time Diff: 240.18
Acton: 0 | Reward: -0.100000
Steps Taken: 3 | Time Diff: 244.78
Acton: 0 | Reward: 0.900000
Steps Taken: 4 | Time Diff: 249.4
Acton: 0 | Reward: -0.100000
Steps Taken: 5 | Time Diff: 254.01
Acton: 0 | Reward: -0.100000
Steps Taken: 6 | Time Diff: 258.62
Acton: 0 | Reward: 0.900000
Steps Taken: 7 | Time Diff: 263.24
Acton: 0 | Reward: -0.100000
Steps Taken: 8 | Time Diff: 267.86
Acton: 0 | Reward: -0.100000
Steps Taken: 9 | Time Diff: 272.47
Acton: 0 | Reward: -0.100000
Steps Taken: 10 | Time Diff: 277.08
Acton: 0 | Reward: 0.900000
Steps Taken: 11 | Time Diff: 281.68
Acton: 0 | Reward: -0.100000
Steps Taken: 12 | Time Diff: 286.28
Acton: 0 | Reward: 0.900000
Steps Taken: 13 | Time Diff: 290.92
Acton: 0 | Reward: 0.900000
Steps Taken: 14 | Time Diff: 295.53
Acton: 0 | Reward: 0.900000
Steps Taken: 15 | Time Diff: 300.14
Acton: 0 | Reward: -0.100000
