SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 4.43
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 8.87
Acton: 0 | Reward: 0.550000
Steps Taken: 3 | Time Diff: 13.32
Acton: 0 | Reward: -0.450000
Steps Taken: 4 | Time Diff: 17.76
Acton: 0 | Reward: 0.550000
Steps Taken: 5 | Time Diff: 22.22
Acton: 0 | Reward: 0.550000
Steps Taken: 6 | Time Diff: 26.66
Acton: 0 | Reward: 0.550000
Steps Taken: 7 | Time Diff: 31.11
Acton: 0 | Reward: 0.550000
Steps Taken: 8 | Time Diff: 35.56
Acton: 0 | Reward: 0.550000
Steps Taken: 9 | Time Diff: 40.02
Acton: 0 | Reward: -0.450000
Steps Taken: 10 | Time Diff: 44.46
Acton: 0 | Reward: -0.450000
Steps Taken: 11 | Time Diff: 48.92
Acton: 0 | Reward: 0.550000
Steps Taken: 12 | Time Diff: 53.38
Acton: 0 | Reward: 0.550000
Steps Taken: 13 | Time Diff: 57.83
Acton: 0 | Reward: -0.450000
Steps Taken: 14 | Time Diff: 62.29
Acton: 0 | Reward: 0.550000
Steps Taken: 15 | Time Diff: 66.74
Acton: 0 | Reward: -0.450000
Steps Taken: 16 | Time Diff: 71.18
Acton: 0 | Reward: -0.450000
Steps Taken: 17 | Time Diff: 75.65
Acton: 0 | Reward: 0.550000
Steps Taken: 18 | Time Diff: 80.1
Acton: 0 | Reward: 0.550000
Steps Taken: 19 | Time Diff: 84.55
Acton: 0 | Reward: -0.450000
Steps Taken: 20 | Time Diff: 89.01
Acton: 0 | Reward: -0.450000
Steps Taken: 21 | Time Diff: 93.47
Acton: 0 | Reward: -0.450000
Steps Taken: 22 | Time Diff: 97.92
Acton: 0 | Reward: 0.550000
Steps Taken: 23 | Time Diff: 102.36
Acton: 0 | Reward: 0.550000
Steps Taken: 24 | Time Diff: 106.82
Acton: 0 | Reward: 0.550000
Steps Taken: 25 | Time Diff: 111.27
Acton: 0 | Reward: -0.450000
Steps Taken: 26 | Time Diff: 115.73
Acton: 0 | Reward: 0.550000
Steps Taken: 27 | Time Diff: 120.18
Acton: 0 | Reward: -0.450000
Steps Taken: 28 | Time Diff: 124.63
Acton: 0 | Reward: 0.550000
Steps Taken: 29 | Time Diff: 129.09
Acton: 0 | Reward: 0.550000
Steps Taken: 30 | Time Diff: 133.54
Acton: 0 | Reward: -0.450000
Steps Taken: 31 | Time Diff: 138.0
Acton: 0 | Reward: 0.550000
Steps Taken: 32 | Time Diff: 142.46
Acton: 0 | Reward: -0.450000
Steps Taken: 33 | Time Diff: 146.92
Acton: 0 | Reward: 0.550000
Steps Taken: 34 | Time Diff: 151.38
Acton: 0 | Reward: 0.550000
Steps Taken: 35 | Time Diff: 155.84
Acton: 0 | Reward: 0.550000
Steps Taken: 36 | Time Diff: 160.3
Acton: 0 | Reward: 0.550000
Steps Taken: 37 | Time Diff: 164.76
Acton: 0 | Reward: 0.550000
Steps Taken: 38 | Time Diff: 169.22
Acton: 0 | Reward: -0.450000
Steps Taken: 39 | Time Diff: 173.67
Acton: 0 | Reward: 0.550000
Steps Taken: 40 | Time Diff: 178.13
Acton: 0 | Reward: -0.450000
Steps Taken: 41 | Time Diff: 182.59
Acton: 0 | Reward: 0.550000
Steps Taken: 42 | Time Diff: 187.05
Acton: 0 | Reward: -0.450000
Steps Taken: 43 | Time Diff: 191.51
Acton: 0 | Reward: -0.450000
Steps Taken: 44 | Time Diff: 195.97
Acton: 0 | Reward: 0.550000
Steps Taken: 45 | Time Diff: 200.43
Acton: 0 | Reward: -0.450000
Steps Taken: 46 | Time Diff: 204.89
Acton: 0 | Reward: 0.550000
Steps Taken: 47 | Time Diff: 209.35
Acton: 0 | Reward: -0.450000
Steps Taken: 48 | Time Diff: 213.81
Acton: 0 | Reward: 0.550000
Steps Taken: 49 | Time Diff: 218.27
Acton: 0 | Reward: 0.550000
Steps Taken: 50 | Time Diff: 222.74
Acton: 0 | Reward: -0.450000
Steps Taken: 1 | Time Diff: 227.19
Acton: 1 | Reward: 0.000000
Steps Taken: 2 | Time Diff: 231.66
Acton: 1 | Reward: 0.000000
Steps Taken: 3 | Time Diff: 236.11
Acton: 1 | Reward: 0.000000
Steps Taken: 4 | Time Diff: 240.57
Acton: 1 | Reward: 0.000000
Steps Taken: 5 | Time Diff: 245.02
Acton: 1 | Reward: 0.000000
Steps Taken: 6 | Time Diff: 249.48
Acton: 1 | Reward: 0.000000
