SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.800000
Steps Taken: 1 | Time Diff: 4.43
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 8.88
Acton: 0 | Reward: 0.800000
Steps Taken: 3 | Time Diff: 13.32
Acton: 0 | Reward: -0.200000
Steps Taken: 4 | Time Diff: 17.76
Acton: 0 | Reward: -0.200000
Steps Taken: 5 | Time Diff: 22.21
Acton: 0 | Reward: -0.200000
Steps Taken: 6 | Time Diff: 26.67
Acton: 0 | Reward: 0.800000
Steps Taken: 7 | Time Diff: 31.11
Acton: 0 | Reward: 0.800000
Steps Taken: 8 | Time Diff: 35.55
Acton: 0 | Reward: 0.800000
Steps Taken: 9 | Time Diff: 39.98
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 44.42
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 49.72
Acton: 0 | Reward: 0.800000
Steps Taken: 12 | Time Diff: 55.88
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 60.31
Acton: 0 | Reward: 0.800000
Steps Taken: 14 | Time Diff: 66.78
Acton: 0 | Reward: -0.200000
Steps Taken: 15 | Time Diff: 76.28
Acton: 0 | Reward: -0.200000
Steps Taken: 16 | Time Diff: 83.19
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 87.64
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 92.08
Acton: 0 | Reward: -0.200000
Steps Taken: 19 | Time Diff: 96.52
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 100.96
Acton: 0 | Reward: 0.800000
Steps Taken: 21 | Time Diff: 105.41
Acton: 0 | Reward: -0.200000
Steps Taken: 22 | Time Diff: 109.85
Acton: 0 | Reward: -0.200000
Steps Taken: 23 | Time Diff: 114.28
Acton: 0 | Reward: 0.800000
Steps Taken: 24 | Time Diff: 118.72
Acton: 0 | Reward: 0.800000
Steps Taken: 25 | Time Diff: 123.16
Acton: 0 | Reward: 0.800000
Steps Taken: 26 | Time Diff: 127.62
Acton: 0 | Reward: 0.800000
Steps Taken: 27 | Time Diff: 132.06
Acton: 0 | Reward: -0.200000
Steps Taken: 28 | Time Diff: 136.51
Acton: 0 | Reward: -0.200000
Steps Taken: 29 | Time Diff: 140.97
Acton: 0 | Reward: -0.200000
Steps Taken: 30 | Time Diff: 145.41
Acton: 0 | Reward: 0.800000
Steps Taken: 31 | Time Diff: 153.88
Acton: 0 | Reward: -0.200000
Steps Taken: 32 | Time Diff: 163.12
Acton: 0 | Reward: -0.200000
Steps Taken: 33 | Time Diff: 172.38
Acton: 0 | Reward: -0.200000
Steps Taken: 34 | Time Diff: 177.97
Acton: 0 | Reward: -0.200000
Steps Taken: 35 | Time Diff: 182.4
Acton: 0 | Reward: -0.200000
Steps Taken: 36 | Time Diff: 186.83
Acton: 0 | Reward: 0.800000
Steps Taken: 37 | Time Diff: 191.25
Acton: 0 | Reward: -0.200000
Steps Taken: 38 | Time Diff: 195.7
Acton: 0 | Reward: -0.200000
Steps Taken: 39 | Time Diff: 200.14
Acton: 0 | Reward: -0.200000
Steps Taken: 40 | Time Diff: 204.57
Acton: 0 | Reward: 0.800000
Steps Taken: 41 | Time Diff: 209.85
Acton: 0 | Reward: -0.200000
Steps Taken: 42 | Time Diff: 217.28
Acton: 0 | Reward: 0.800000
Steps Taken: 43 | Time Diff: 226.5
Acton: 0 | Reward: -0.200000
Steps Taken: 44 | Time Diff: 235.72
Acton: 0 | Reward: -0.200000
Steps Taken: 45 | Time Diff: 244.96
Acton: 0 | Reward: -0.200000
Steps Taken: 46 | Time Diff: 254.18
Acton: 0 | Reward: -0.200000
Steps Taken: 47 | Time Diff: 263.4
Acton: 0 | Reward: 0.800000
Steps Taken: 48 | Time Diff: 271.63
Acton: 0 | Reward: 0.800000
Steps Taken: 49 | Time Diff: 277.8
Acton: 0 | Reward: 0.800000
Steps Taken: 50 | Time Diff: 286.6
Acton: 0 | Reward: 0.800000
Steps Taken: 1 | Time Diff: 291.03
Acton: 0 | Reward: 0.800000
Steps Taken: 2 | Time Diff: 295.46
Acton: 0 | Reward: -0.200000
Steps Taken: 3 | Time Diff: 299.89
Acton: 0 | Reward: -0.200000
Steps Taken: 4 | Time Diff: 304.33
Acton: 0 | Reward: -0.200000
Steps Taken: 5 | Time Diff: 308.77
Acton: 0 | Reward: -0.200000
Steps Taken: 6 | Time Diff: 313.21
Acton: 0 | Reward: 0.800000
Steps Taken: 7 | Time Diff: 317.64
Acton: 0 | Reward: -0.200000
Steps Taken: 8 | Time Diff: 322.07
Acton: 0 | Reward: -0.200000
Steps Taken: 9 | Time Diff: 326.5
Acton: 0 | Reward: 0.800000
Steps Taken: 10 | Time Diff: 330.93
Acton: 0 | Reward: -0.200000
Steps Taken: 11 | Time Diff: 335.36
Acton: 0 | Reward: 0.800000
Steps Taken: 12 | Time Diff: 339.79
Acton: 0 | Reward: -0.200000
Steps Taken: 13 | Time Diff: 344.21
Acton: 0 | Reward: 0.800000
Steps Taken: 14 | Time Diff: 348.64
Acton: 0 | Reward: 0.800000
Steps Taken: 15 | Time Diff: 353.07
Acton: 0 | Reward: 0.800000
Steps Taken: 16 | Time Diff: 357.49
Acton: 0 | Reward: -0.200000
Steps Taken: 17 | Time Diff: 361.92
Acton: 0 | Reward: 0.800000
Steps Taken: 18 | Time Diff: 366.35
Acton: 0 | Reward: 0.800000
Steps Taken: 19 | Time Diff: 370.79
Acton: 0 | Reward: 0.800000
Steps Taken: 20 | Time Diff: 375.22
Acton: 0 | Reward: -0.200000
Steps Taken: 21 | Time Diff: 379.65
Acton: 0 | Reward: -0.200000
Steps Taken: 22 | Time Diff: 384.08
